painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,generated_emotion,last_column_pic,last_column_text
konstantin-somov_models-2,Symbolism,contentment,5,2,0,https://uploads4.wikiart.org/images/konstantin-somov/models-2.jpg,"the lines of the female form are fluid and not overly exaggerated the swift lines and soft lighting, as well as ease of the poses convey a sense of contentment",Contentment,,Amusement
ernst-ludwig-kirchner_book-illustration-side-of-the-military-road,Expressionism,awe,5,1,0,https://uploads8.wikiart.org/images/ernst-ludwig-kirchner/book-illustration-side-of-the-military-road.jpg,"It's amazing that these books have been preserved to this day. the lady is choking the child I like high contrast, I love the woodblock and I love the rounded Blackletter",Anger,Disgust,Amusement
salvador-dali_bather,Expressionism,contentment,11,2,0,https://uploads8.wikiart.org/images/salvador-dali/bather.jpg,The woman is leaning back in her bed just like how I relax. This 1920's party guy is catching some rays before picking up Zelda for an evening at the speakeasy. I really love how the artist shaded the person. Very detailed fabric on the bed and clothing. Relaxing blue hues look like a nice morning. The skin tone is so rich and shadowing is down so beautifully I can feel the rest the handsome young man is enjoying.,,Disgust,Contentment
edvard-munch_from-thuringewald-1905,Expressionism,contentment,5,2,0,https://uploads5.wikiart.org/images/edvard-munch/from-thuringewald-1905.jpg,"The contrast of colors reminds me of trips taken as a child Very content with vibrant, bright colors. The background melds well with the foregound, although the middle with the pink/red is a little out of order.",Contentment,Fear,Amusement
john-henry-twachtman_view-of-venice-1,Impressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/john-henry-twachtman/view-of-venice-1.jpg,the steamboat is cast in a dark shape reflecting the shadow from the sun I feel simple contentment because the image of the painting is idyllic and nice. It seems comforting. Water scene gives a feeling of peace and tranquility.,Amusement,,Contentment
albrecht-durer_sudarium-displayed-by-two-angels-1513,Northern_Renaissance,sadness,5,7,1,https://uploads4.wikiart.org/images/albrecht-durer/sudarium-displayed-by-two-angels-1513.jpg,The angels seem mortified to have to present the mans head. The angels appear to be mourning the death of a man whose face is on a painting. off of their faces have expressions of pain or sadness,Sadness,Fear,Amusement
john-french-sloan_sun-and-wind-on-the-roof-1915,New_Realism,excitement,5,3,0,https://uploads8.wikiart.org/images/john-french-sloan/sun-and-wind-on-the-roof-1915.jpg,"The laundry struggle in the tenements is what this reminds me of. I love this. I feel like I'm there with her hanging clothing on a windswept rooftop in a city. I think she must have a busy, exciting life living in a place like that.",Contentment,Disgust,Amusement
henri-matisse_stained-glass-window-window-of-the-abside-of-the-rosary-chapel-1949,Abstract_Expressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/henri-matisse/stained-glass-window-window-of-the-abside-of-the-rosary-chapel-1949.jpg,Looks like leaves have been dipped in paint and placed on. the bright colors and repetitiveness remind me of planton,Excitement,,Anger
agnes-martin_untitled-15-peace-1996,Minimalism,sadness,5,7,1,https://uploads5.wikiart.org/images/agnes-martin/untitled-15-peace-1996.jpg,"The image is bland, devoid of depth, faded, repetitive. It reminds me how monotonous life can be at times. There is a feeling of emptiness and sadness.",Sadness,,Amusement
pablo-picasso_carnival-at-the-bistro-1909,Cubism,contentment,5,2,0,https://uploads2.wikiart.org/images/pablo-picasso/carnival-at-the-bistro-1909.jpg,"There is going to be plenty for everyone as long as they're patient. It has a party atmosphere, where people are seated close to each other. I enjoy the cubist-esque style of this charcoal sketch because it conveys a message.",Contentment,Disgust,Amusement
