painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_0_shot
hans-hofmann_delirious-pink-1961,Abstract_Expressionism,disgust,5,5,1,https://uploads2.wikiart.org/images/hans-hofmann/delirious-pink-1961.jpg,This painting looks like blood smeared on a wall.,Disgust
george-luks_portrait-of-a-girl-in-black,New_Realism,amusement,5,0,0,https://uploads0.wikiart.org/images/george-luks/portrait-of-a-girl-in-black.jpg,"She is so cute and vibrant. I have 3 girls and i love this big smiled little girl! She is dressed all fancy and her rosey cheeks. Was the scarf suppose to be in her hair or on her shoulders, but yet she stood and posed and about to run off and play hard. the girl in the painting looks very cute",Amusement
albrecht-durer_sudarium-displayed-by-two-angels-1513,Northern_Renaissance,sadness,5,7,1,https://uploads4.wikiart.org/images/albrecht-durer/sudarium-displayed-by-two-angels-1513.jpg,The angels seem mortified to have to present the mans head. The angels appear to be mourning the death of a man whose face is on a painting. off of their faces have expressions of pain or sadness,Sadness
katsushika-hokusai_inside-the-courtyard-of-the-toeizan-temple-at-ueno,Ukiyo_e,awe,5,1,0,https://uploads3.wikiart.org/images/katsushika-hokusai/inside-the-courtyard-of-the-toeizan-temple-at-ueno.jpg,"Scene depicting how well society was running and was organized at that time. This is an intricate system for a building. Very beautifully detailed. The attention to detail in even the smallest aspects of the picture is amazing The scenery, of the Japanese style buildings, looks majestic.",Awe
guido-reni_saint-joseph,Baroque,awe,6,1,0,https://uploads2.wikiart.org/images/guido-reni/saint-joseph.jpg,"The contrast of old and young of the two figures and the golden colour made me feel awe The old man holding the newborn baby makes for a surreal scene. The human condition. Looking at the plump newness of the baby in contrast to the shriveling aged man holding the child, Knowing that from one moment comes the next moment i feel like this grandfather loves this child very dearly.",Awe
raphael-kirchner_figures-on-turquoise-background-1901-1,Art_Nouveau_Modern,contentment,5,2,0,https://uploads7.wikiart.org/images/raphael-kirchner/figures-on-turquoise-background-1901-1.jpg,"This is actually nice, if it is a letter from a kid to his/her mother it makes me feel nostalgic in a good way, the female seems safe and happy",Contentment
paul-cezanne_young-italian-girl-resting-on-her-elbow-1896,Post_Impressionism,sadness,5,7,1,https://uploads0.wikiart.org/images/paul-cezanne/young-italian-girl-resting-on-her-elbow-1896.jpg,"Because he appears to be thinking about something bad that happened to him. This poor woman, I feel so badly for her for what she is obviously going through",Sadness
henri-matisse_stained-glass-window-window-of-the-abside-of-the-rosary-chapel-1949,Abstract_Expressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/henri-matisse/stained-glass-window-window-of-the-abside-of-the-rosary-chapel-1949.jpg,Looks like leaves have been dipped in paint and placed on. the bright colors and repetitiveness remind me of planton,Amusement
david-teniers-the-younger_the-picture-gallery-of-archduke-leopold-wilhelm-1640,Baroque,awe,5,1,0,https://uploads3.wikiart.org/images/david-teniers-the-younger/the-picture-gallery-of-archduke-leopold-wilhelm-1640.jpg,"the concept of this picture, being pictures inside of a picture is really interesting A painting full of other paintings, this is amazingly painstaking. Look at all the detail in this painting!  It is a painting of at least 30 other paintings, most of which contain numerous people engaged in a plethora of activities.  To paint the details of all these faces and body positions boggles my mind.",
ivan-bilibin_illustration-for-the-poem-the-tale-of-the-golden-cockerel-by-alexander-pushkin-1910(1),Art_Nouveau_Modern,excitement,5,3,0,https://uploads6.wikiart.org/images/ivan-bilibin/illustration-for-the-poem-the-tale-of-the-golden-cockerel-by-alexander-pushkin-1910(1).jpg,This animal seems very powerful and even meaningful with how it is focused on which makes me feel powerful I find myself interested in foreign artwork and how aspects of different cultures might influence a style. This unusual cat makes me feel excited to know more.,Excitement
canaletto_the-grand-canal-at-rialto,Rococo,contentment,5,2,0,https://uploads5.wikiart.org/images/canaletto/the-grand-canal-at-rialto.jpg,the city looks busy and it is business as usual. this is a beautiful and serene image that makes me feel peaceful.,Contentment
peter-paul-rubens_the-crowning-of-st-catherine,Baroque,contentment,5,2,0,https://uploads7.wikiart.org/images/peter-paul-rubens/the-crowning-of-st-catherine.jpg,a balance between bold colors and somber hues compliment the contented faces on everyone in this scene A perfect example of the cycle of life. Mother Mary so blessed and true. A real protector.,Contentment
pierre-auguste-renoir_madame-monet-1872,Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/pierre-auguste-renoir/madame-monet-1872.jpg,The pose that the lady is using in this image gives a definite sense that this is a time of comfort. I want to be this confident wearing my shoes on the bed.,Contentment
vincent-van-gogh_fishing-boats-at-sea-1888(1),Post_Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/vincent-van-gogh/fishing-boats-at-sea-1888(1).jpg,"The line of boats peacefully sailing along the shore remind me of the simplicity of the natural world. The drawing appears messy and rushed, though it simply conveys a seascape.",Contentment
albrecht-durer_the-adoration-of-the-shepherds-1505,Northern_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/albrecht-durer/the-adoration-of-the-shepherds-1505.jpg,The old man comes to give his blessing to the new born baby. all they knew was angels are there for you when you need them The lady in this painting and all the people are all focusing on a baby laying on a basket!,Amusement
vincent-van-gogh_a-group-of-figures-on-the-beach(1),Post_Impressionism,awe,6,1,0,https://uploads3.wikiart.org/images/vincent-van-gogh/a-group-of-figures-on-the-beach(1).jpg,The shapes of the people look like ghosts appearing temporarily. The quickly drawn people look like ghosts on a beach.,Sadness
georges-seurat_the-bridge-at-courbevoie-1887,Pointillism,contentment,5,2,0,https://uploads5.wikiart.org/images/georges-seurat/the-bridge-at-courbevoie-1887.jpg,The color palette used is very calming. The color palette used is very calming. i do not like the graininess of this i think the colors should be solid i do not like the graininess of this i think the colors should be solid The kids in the picture are oberlooking water and seem to be catching some fresh air The kids in the picture are oberlooking water and seem to be catching some fresh air,Amusement
