painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_amusement_shot,predicted_anger_shot,predicted_awe_shot,predicted_disgust_shot,predicted_contentment_shot,predicted_excitement_shot,predicted_fear_shot,predicted_sad_shot,
joan-mitchell_untitled-1987,Abstract_Expressionism,excitement,5,3,0,https://uploads6.wikiart.org/images/joan-mitchell/untitled-1987.jpg,"The bit on the left of this piece looks like an angry eye on a skull going after something through the shroud of colors. There are two panels even thought the yellow motions of paint connect them. The colors are bright, fast moving, and textured. Excitement and adventure await those that are brave enough to seek it out.  A new day.",excitement,excitement,Excitement,Excitement,Excitement,Excitement,Excitement,Excitement,
diego-velazquez_count-duke-of-olivares,Baroque,amusement,5,0,0,https://uploads8.wikiart.org/images/diego-velazquez/count-duke-of-olivares.jpg,"This man's moustache makes it look like he's hiding something and I want to know what it is. Wonder who this painting is of if they are old or not. The painting, although looks classic, shows a funny face of a gentlemen. The facial expression looks amazing. His face is how I imagine the king of gnomes",amusement,amusement,Amusement,Disgust,Amusement,Amusement,Disgust,Disgust,
vladimir-borovikovsky_portrait-of-ye-a-arkharova-1820,Rococo,sadness,6,7,1,https://uploads5.wikiart.org/images/vladimir-borovikovsky/portrait-of-ye-a-arkharova-1820.jpg,the look on the ladies face looks very sad and somber A very sad and lonely older woman,sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
ivan-shishkin_pine-forest-in-viatka-province-1872,Realism,contentment,5,2,0,https://uploads1.wikiart.org/images/ivan-shishkin/pine-forest-in-viatka-province-1872.jpg,"This picture looks covered in pollen. The green and yellow colors makes the photo look scary. The forest looks completely abandoned and at peace The scenery is very nice. I like the greens chosen and the stream makes it seem peaceful, although a bit hazy.",amusement,disgust,Awe,Disgust,Contentment,Awe,Fear,Sadness,
hans-memling_st-ursula-and-her-companions-from-the-reliquary-of-st-ursula-1489,Northern_Renaissance,awe,5,1,0,https://uploads3.wikiart.org/images/hans-memling/st-ursula-and-her-companions-from-the-reliquary-of-st-ursula-1489.jpg,The woman seems rather holy with her staff and red cape in my opinion. Seeing the people being watched over by a spiritual being creates a sense of awe and respect.,awe,awe,Awe,Awe,Awe,Awe,Awe,Awe,
caspar-david-friedrich_woman-with-a-candlestick,Romanticism,fear,5,6,1,https://uploads8.wikiart.org/images/caspar-david-friedrich/woman-with-a-candlestick.jpg,The dark colors framing the lone woman are kind of creepy the darkness is a bit scary and it feels like the unknown is hiding nearby,fear,fear,Fear,Fear,Fear,Fear,Fear,Fear,
rembrandt_the-adoration-of-the-sheperds-1652,Baroque,fear,5,6,1,https://uploads5.wikiart.org/images/rembrandt/the-adoration-of-the-sheperds-1652.jpg,The white figures look very scary against the black colors. The darkness and the lantern being the only source of light The faces hidden within the dark black shadows are ominous.,fear,fear,Fear,Fear,Fear,Fear,Fear,Fear,
francois-boucher_the-fountain-of-love-1748,Rococo,contentment,5,2,0,https://uploads3.wikiart.org/images/francois-boucher/the-fountain-of-love-1748.jpg,"The painting give a sense of relaxation and restfulness. I enjoy a good fete galante. I adore the Rococo. Kids, animals, music makes for a great day",amusement,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
hiro-yamagata_not-detected-272407,Pop_Art,amusement,5,0,0,https://uploads3.wikiart.org/images/hiro-yamagata/not-detected-272407.jpg,"With so many things to look at, I find it funny. Looks like the Tropico video games when you really have a nice island going Its obviously an important day in this vibrant city with the plane with a banner coming off the tail",amusement,amusement,Amusement,Amusement,Amusement,Amusement,Amusement,Amusement,
nicholas-roerich_ladoga-1918,Symbolism,contentment,6,2,0,https://uploads7.wikiart.org/images/nicholas-roerich/ladoga-1918.jpg,I really like the rounded shapes and muted colors...it's relaxing. I like the use of colors they make me feel relaxed and sleepy. This painting makes me feel content because the colors used are very calming. The style the scenery is painted in is quite muted and dreamlike and it makes me feel relaxed. The distance and perspective plus the bright color adds a calmness,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
gustave-caillebotte_landscape-near-yerres,Impressionism,awe,5,1,0,https://uploads2.wikiart.org/images/gustave-caillebotte/landscape-near-yerres.jpg,"This looks like a beautiful spring day, where you can walk in solitude and watch the flowers grow. I love the slightly overlooking view of the garden area. The blossoming flowers give me a sense of hope and appreciation for summer and life.",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
raphael-kirchner_a-half-of-a-virgin-1901-5,Art_Nouveau_Modern,contentment,5,2,0,https://uploads3.wikiart.org/images/raphael-kirchner/a-half-of-a-virgin-1901-5.jpg,"i like how light and wispy the woman in the image looks I love the colors used and the retro female image. Simple painting, simple colors the flowers in her hand and head is peaceful.",amusement,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
diego-velazquez_portrait-of-don-diego-de-corral-y-arellano-1632,Baroque,fear,5,6,1,https://uploads6.wikiart.org/images/diego-velazquez/portrait-of-don-diego-de-corral-y-arellano-1632.jpg,"The man's mean facial expression and harsh style of dress are overwhelming The red embroidery on his black cloak must be where they surgically removed his heart.  When I say they, I mean the Inquisition and the Pope",disgust,disgust,Disgust,Disgust,Disgust,Disgust,Fear,Sadness,
esaias-van-de-velde_road-next-to-a-waterfall,Baroque,contentment,6,2,0,https://uploads5.wikiart.org/images/esaias-van-de-velde/road-next-to-a-waterfall.jpg,"Fine lines used to draw the water makes the picture look like the water is flowing down the river. These men seem to be on a journey to this house and are almost there. wonderful use of line work, the lines create great shading and depth.",amusement,amusement,Awe,Awe,Contentment,Excitement,Awe,Sadness,
william-congdon_subiaco-1963,Abstract_Expressionism,contentment,6,2,0,https://uploads7.wikiart.org/images/william-congdon/subiaco-1963.jpg,"A splash of earthy tones and values that allows the painter to totally go to town with creativity. the contrast of colors is very neat, looks like the artist had some feelings he/she needed to let out.",amusement,anger,Awe,Disgust,Contentment,Excitement,Awe,Sadness,
andrea-del-castagno_equestrian-monument-to-niccolo-da-tolentino-1456,Early_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/andrea-del-castagno/equestrian-monument-to-niccolo-da-tolentino-1456.jpg,"I appreciate the great stallion in this piece The stance and posture of the figures is intense. The depiction is of a war hero who saved his nation. Painting of what looks like a knight on a horse, seems impressive. a very royal or regal subject with impressive detail",awe,awe,Awe,Awe,Awe,Awe,Awe,Awe,
john-constable_the-white-horse-1819,Romanticism,contentment,5,2,0,https://uploads5.wikiart.org/images/john-constable/the-white-horse-1819.jpg,A nice quiet day to walk around the calming pond The scene of clouds over a rural town depicts the everyday farm life.,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
john-french-sloan_spring-washington-square-1928,New_Realism,contentment,5,2,0,https://uploads8.wikiart.org/images/john-french-sloan/spring-washington-square-1928.jpg,"It looks like a park in a big city, and people are walking through the park. Another peaceful image, people strolling through a park and enjoying their day, not a care in the world. The painting looks like a pretty and peaceful park to be in.",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
lucas-cranach-the-elder_the-crucifixion-1503,Northern_Renaissance,sadness,6,7,1,https://uploads5.wikiart.org/images/lucas-cranach-the-elder/the-crucifixion-1503.jpg,The people cannot contain their sadness for the three on the crosses. The depiction of extreme human suffering is heart breaking Jesus's body is filled with red streaks of blood,sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
