painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_awe_shot
lucas-cranach-the-elder_the-crucifixion-1503,Northern_Renaissance,sadness,6,7,1,https://uploads5.wikiart.org/images/lucas-cranach-the-elder/the-crucifixion-1503.jpg,The people cannot contain their sadness for the three on the crosses. The depiction of extreme human suffering is heart breaking Jesus's body is filled with red streaks of blood,Sadness
ivan-shishkin_view-in-the-vicinity-of-st-petersburg-1856,Realism,contentment,6,2,0,https://uploads8.wikiart.org/images/ivan-shishkin/view-in-the-vicinity-of-st-petersburg-1856.jpg,"a man with a wagon and cattle ride the dirt road I like the play of light and shadow, and the figures on the path give perspective. Love the nature view. Makes you think about simpler times. Wonderful detail, the shadows contrast nicely with the blue sky.",Awe
wassily-kandinsky_autumn-in-bavaria-1908,Expressionism,contentment,6,2,0,https://uploads1.wikiart.org/images/wassily-kandinsky/autumn-in-bavaria-1908.jpg,"The sun has cast a soft yellow glow on the flowers and on the ground I would be afraid to try those colors in that way against the ground A cheerful walk in the park on a sunny day. The bright, happy colors work well with the shadows to create a welcoming scene. The introduction of shadows through lightly blended colors creates an amazing effect.",Contentment
marc-chagall_portrait-of-artist-s-sister-aniuta-1910,Expressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/marc-chagall/portrait-of-artist-s-sister-aniuta-1910.jpg,"This woman looks very stern and confident while staring straight into my eyes. The woman is dressed in colors of red, white and black.",Contentment
felicien-rops_human-pardon-1881,Symbolism,fear,5,6,1,https://uploads1.wikiart.org/images/felicien-rops/human-pardon-1881.jpg,"The image is of a skeleton posing a a beautiful woman to possibly lure the gentlemen in. Who knows what the intentions of the skeleton are. Walking in a dark alley and knowing that when someone turns it may not be what it seems, that is scary. It looks like death itself itself is trying to seduce the man.",Fear
giovanni-bellini_virgin-and-child,High_Renaissance,contentment,6,2,0,https://uploads3.wikiart.org/images/giovanni-bellini/virgin-and-child.jpg,This painting makes me feel contentment because the baby is sleeping peacefully and the mom is watching over him. This makes it seem like the baby is safe and taken care of. Nice scene of what it's like to be a mother. The blue is very vibrant Vibrant blue robe and chubby baby in possibly an Italian town.,Contentment
michelangelo_study-of-christ-on-the-cross-between-the-virgin-and-st-john-the-evangelist,High_Renaissance,sadness,6,7,1,https://uploads3.wikiart.org/images/michelangelo/study-of-christ-on-the-cross-between-the-virgin-and-st-john-the-evangelist.jpg,"The simplicity in the colors of the crussifiction of Jesus makes the sadnnes of this so much more real This looks like Jesus on thew crucifix with people mourning at his feet. It seems sad to me both because of the gray/brown color palette and shadowy figures and because of what it depicts. There is someone who has died or is in the process of dying and two mourners alongside them. One of the mourners is so shadowy that it suggests they may be someone who is already dead, like a spirit come to greet this new soul to the other side. crucification and torture scenes are very difficult to look at",Sadness
marc-chagall_peonies-and-lilacs-1926,Naive_Art_Primitivism,contentment,5,2,0,https://uploads6.wikiart.org/images/marc-chagall/peonies-and-lilacs-1926.jpg,the flowers are colorful and brighten their surroundings. these flowers make me think of walking through my flower garden,Contentment
georges-seurat_study-for-the-channel-at-gravelines-evening-1890,Pointillism,contentment,5,2,0,https://uploads6.wikiart.org/images/georges-seurat/study-for-the-channel-at-gravelines-evening-1890.jpg,"The painting technique suggests a sense of ease. The painting technique suggests a sense of ease. There are two figures standing on what appears to be the shore of a body of water with their reflections shimmering in the water. . There are two figures standing on what appears to be the shore of a body of water with their reflections shimmering in the water. . The colors are very soothing at the top, they seem like clouds at sunset. The colors are very soothing at the top, they seem like clouds at sunset.",Contentment
orest-kiprensky_portrait-of-the-artist-s-father-adam-karlovich-schwalbe-1804,Romanticism,fear,5,6,1,https://uploads1.wikiart.org/images/orest-kiprensky/portrait-of-the-artist-s-father-adam-karlovich-schwalbe-1804.jpg,The man is holding out his fist to hit someone The guy in the  picture looks kind of dangerous,Fear
marc-chagall_joshua-closes-the-book-of-law-that-he-has-just-read-to-the-people-of-israel-joshua-viii-33-35,Naive_Art_Primitivism,amusement,5,0,0,https://uploads4.wikiart.org/images/marc-chagall/joshua-closes-the-book-of-law-that-he-has-just-read-to-the-people-of-israel-joshua-viii-33-35.jpg,"If i didn't know the background on this one, I'd say that it appears to be a bunch of rabbis trying to talk over each other, and using their hands to gesture to put emphasis on whatever it is they are saying to each other, and that's quite funny. I feel that he is trying to tell me what to do. Like im dumb",Amusement
henri-matisse_the-snail-1953,Color_Field_Painting,amusement,5,0,0,https://uploads7.wikiart.org/images/henri-matisse/the-snail-1953.jpg,All of the bright colors and sharp lines make me feel amussed. All of the bright colors and sharp lines make me feel amussed. This looks like construction paper cutouts that were glued on a piece of white paper. The black and green stand out to me the most. This looks like construction paper cutouts that were glued on a piece of white paper. The black and green stand out to me the most.,Amusement
paul-cezanne_the-pool-at-jas-de-bouffan,Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/paul-cezanne/the-pool-at-jas-de-bouffan.jpg,"A peaceful feeling comes to mind while looking at the still water. I could just sit here, and stare at the home's reflection in the water, all day. This makes me peaceful.  It looks like you're walking down the road looking out on a calm day.  The water is peaceful too. A nice house close to a lake ised for swimming and fishing.",Contentment
john-atkinson-grimshaw_endymion-on-mount-latmus-1879,Symbolism,awe,5,1,0,https://uploads4.wikiart.org/images/john-atkinson-grimshaw/endymion-on-mount-latmus-1879.jpg,"The warm orange lighting and relaxed pose of the laying woman makes the environment feel warm and relaxed, and blessed It looks otherworldly but at the same time like it could happen very close by. the angel hovers over while resting by the shore",Awe
claude-monet_the-basin-at-argenteuil,Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/claude-monet/the-basin-at-argenteuil.jpg,"I feel peace when I see these placid waters and calm people The slightly overcast bright blue sky, easy body of water, people strolling on a lightly used dirt road in the shade of tall trees next to a large lawn of grass and shrubs, a comforting city scape in the background. Those sailboats on the water look so cute! I also like how the clouds resemble cotton balls. the light colors of the sky contrast with the earthy colors of the flora, creating a sense of peace",Contentment
william-blake_oberon-titania-and-puck-with-fairies-dancing(1),Symbolism,contentment,5,2,0,https://uploads4.wikiart.org/images/william-blake/oberon-titania-and-puck-with-fairies-dancing(1).jpg,A young man is dancing and having fun with a group of young ladies. The people dancing and looking young remind me of my younger days.,Amusement
paul-bril_the-port-1611,Baroque,contentment,5,2,0,https://uploads2.wikiart.org/images/paul-bril/the-port-1611.jpg,The ship at anchor in the harbor at night evokes a sense of rest at the end of the day. It feels like a ship is stranded in a far away place and the crew are making repairs to make the ship seaworthy.,Awe
pierre-puvis-de-chavannes_sleeping,Symbolism,contentment,5,2,0,https://uploads4.wikiart.org/images/pierre-puvis-de-chavannes/sleeping.jpg,The clan seems at peace as they fall asleep as the moon ascends over the water. groups of people resting as the sun goes down A pastoral scene of a group of people sleeping in a field while a huge sun rises above the horizon of a distant lake.,Contentment
jan-sluyters_odalisque,Expressionism,awe,5,1,0,https://uploads1.wikiart.org/images/jan-sluyters/odalisque.jpg,This of a women that is nude that looks not very happy by her face. the woman's naked body is light in color which contrasts the background and her hair.,Disgust
marc-chagall_isaiah-1956,Naive_Art_Primitivism,fear,5,6,1,https://uploads3.wikiart.org/images/marc-chagall/isaiah-1956.jpg,the man looks creepy raising his arms The dark colors and the enigmatic subject matter make me feel fearful.,Fear
patrick-heron_horizontal-stripe-painting-november-1957-january-1958-1958,Color_Field_Painting,disgust,5,5,1,https://uploads6.wikiart.org/images/patrick-heron/horizontal-stripe-painting-november-1957-january-1958-1958.jpg,"So much more red thn any other colors, I'm not a fan of it at all. I don't like this painting because it is just an assortment of different colors layered on top of one another.  There are no shapes or figures to be seen. This feels amateur, like somebody was sampling their paint colors",Disgust
emil-nolde_sunflowers-1917,Expressionism,awe,6,1,0,https://uploads5.wikiart.org/images/emil-nolde/sunflowers-1917.jpg,there are yellow and red sunflowers in the photo I like the contrasting colors of the yellow flowers and the red flowers there red sunflowers dancing in the sun,Contentment
lyonel-feininger_gaberndorf-ii-1924,Cubism,contentment,5,2,0,https://uploads5.wikiart.org/images/lyonel-feininger/gaberndorf-ii-1924.jpg,The geometric shapes make you feel you are travelling towards the centre of the painting. The gold on the red gives the effect of Arabic writing. Nice mixture of shapes and colors that forms houses.,Awe
amedeo-modigliani_viking-eggeling-1916,Expressionism,fear,6,6,1,https://uploads8.wikiart.org/images/amedeo-modigliani/viking-eggeling-1916.jpg,Looks like he is giving an evil glare I dont like his smile and his lack of eyes. Hidden eyes and a disturbing face. He resembles Dracula and looks scary,Fear
