painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,generated_emotion_text
vasily-sadovnikov_interior-of-trinitarian-church-in-vilnius-lithuania-1846,Realism,awe,5,1,0,https://uploads8.wikiart.org/images/vasily-sadovnikov/interior-of-trinitarian-church-in-vilnius-lithuania-1846.jpg,"The depth and magnitude of the space makes me feel rather small. The inside of the church is very intricate and filled with a lot of architecture.  It looks as though there are people praying alongside the pews.  Very detailed. the open space inside the dome is bright the top of the interior looks like a christmas ornament I am in awe looking at this beautiful church, which seems to be filled with heavenly light.",Awe
joan-hernandez-pijuan_homenatge-a-lucio-fontana-1971,Minimalism,contentment,5,2,0,https://uploads4.wikiart.org/images/joan-hernandez-pijuan/homenatge-a-lucio-fontana-1971.jpg,The line down the center looks like it is perfectly slicing the painting in half and the evenness gives me a feeling of contentment for the painting along with the neutral color,Contentment
georges-seurat_the-bridge-at-courbevoie-1887,Pointillism,contentment,5,2,0,https://uploads5.wikiart.org/images/georges-seurat/the-bridge-at-courbevoie-1887.jpg,The color palette used is very calming. The color palette used is very calming. i do not like the graininess of this i think the colors should be solid i do not like the graininess of this i think the colors should be solid The kids in the picture are oberlooking water and seem to be catching some fresh air The kids in the picture are oberlooking water and seem to be catching some fresh air,Disgust
albrecht-durer_greyhound,Northern_Renaissance,contentment,5,2,0,https://uploads3.wikiart.org/images/albrecht-durer/greyhound.jpg,The gaze of the dog is upwards towards his owner.  He looks pleased. The lines make him look like he is groomed and cared for. the dog is sketched with very fine details the fur on the dug and the shadows around it are appealing,Contentment
gustave-loiseau_at-the-coast-of-normandy-1909,Post_Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/gustave-loiseau/at-the-coast-of-normandy-1909.jpg,"This painting makes me feel as if I am sitting on the waters edge with the ocean breeze blowing. the blue reds and greens are blended quite nicely and it just looks settling the texture and light make me feel warm The clear sky, gentle colors and everyday scene have an air of peace and well-being. The style done with splotches of pain is pleasing due to is soft nature",Contentment
vincent-van-gogh_field-with-stacks-of-wheat-1890(1),Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/vincent-van-gogh/field-with-stacks-of-wheat-1890(1).jpg,The sky looks like it's been marbled with white paint The brush strokes make the painting look very calming and the sky is like waves. Very relaxing The overall painting give off a fantasy feel  because of the deliberately distroted style,Contentment
diego-velazquez_count-duke-of-olivares,Baroque,amusement,5,0,0,https://uploads8.wikiart.org/images/diego-velazquez/count-duke-of-olivares.jpg,"This man's moustache makes it look like he's hiding something and I want to know what it is. Wonder who this painting is of if they are old or not. The painting, although looks classic, shows a funny face of a gentlemen. The facial expression looks amazing. His face is how I imagine the king of gnomes",Disgust
hiro-yamagata_not-detected-272407,Pop_Art,amusement,5,0,0,https://uploads3.wikiart.org/images/hiro-yamagata/not-detected-272407.jpg,"With so many things to look at, I find it funny. Looks like the Tropico video games when you really have a nice island going Its obviously an important day in this vibrant city with the plane with a banner coming off the tail",Amusement
marc-chagall_solitude-1933,Naive_Art_Primitivism,sadness,5,7,1,https://uploads5.wikiart.org/images/marc-chagall/solitude-1933.jpg,"The dark spaces, his sad face, and that random violin are all pieces of despair. dark clouds loom over the figures, who seem to know that tragedy is not far away The man looks despondent and defeated. The discarded fiddle is sad",Sadness
mikhail-vrubel_head-of-st-john-the-baptist-1905,Art_Nouveau_Modern,contentment,6,2,0,https://uploads8.wikiart.org/images/mikhail-vrubel/head-of-st-john-the-baptist-1905.jpg,Based on the gold circle behind him it looks like this could be currency of some sort. Based on the gold circle behind him it looks like this could be currency of some sort. The man's pale hair and beard look ghost-like and creepy. The man's pale hair and beard look ghost-like and creepy. The painting gives me a serious feeling but I like it. Looks like a depiction of maybe Greek mythology. The painting gives me a serious feeling but I like it. Looks like a depiction of maybe Greek mythology.,Fear
