painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_sadness_shot
ivan-bilibin_illustration-for-the-magazine-art-treasures-of-russia-1903(1),Art_Nouveau_Modern,contentment,5,2,0,https://uploads8.wikiart.org/images/ivan-bilibin/illustration-for-the-magazine-art-treasures-of-russia-1903(1).jpg,the vertical geometry draw the eye towards the title words at the top of the work I really like the detail in the peoples armor and overall other things in the image. There is a sense of safety and security in this image. This looks like a flyer of kind that could be very old but in a different language that I can't understand.,
paul-cezanne_man-with-a-pipe-1892,Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/paul-cezanne/man-with-a-pipe-1892.jpg,"The sketchy look to it makes me feel like I'm in a John Steinbeck novel. The man's blank expression seems numb, but the forceful brushstrokes in the background suggest inner turmoil.",Sadness
john-mclaughlin_number-15-1961,Minimalism,contentment,5,2,0,https://uploads0.wikiart.org/images/john-mclaughlin/number-15-1961.jpg,The clean lines and the light blue feel peaceful and calming The simplicity of the painting with its precise geometric shapes is soothing.,Contentment
pierre-bonnard_at-the-fence-1895,Post_Impressionism,sadness,5,7,1,https://uploads2.wikiart.org/images/pierre-bonnard/at-the-fence-1895.jpg,"The dusty and grimy coloring makes this seem like a dry barren town where folks struggle to survive It's perplexing and compelling. Those are interesting houses behind her, with the shutters against what looks like stone? Is she free to leave this place? I have a feeling the answer is ""no."" There's something very 'definite' about that fence, going across the whole painting; not a gate in sight. Dark coloring is gloomy and persons face is turned down.",Sadness
salvador-dali_bather,Expressionism,contentment,11,2,0,https://uploads8.wikiart.org/images/salvador-dali/bather.jpg,The woman is leaning back in her bed just like how I relax. This 1920's party guy is catching some rays before picking up Zelda for an evening at the speakeasy. I really love how the artist shaded the person. Very detailed fabric on the bed and clothing. Relaxing blue hues look like a nice morning. The skin tone is so rich and shadowing is down so beautifully I can feel the rest the handsome young man is enjoying.,
marc-chagall_king-david-1963,Naive_Art_Primitivism,fear,5,6,1,https://uploads7.wikiart.org/images/marc-chagall/king-david-1963.jpg,"The fallen, inverted winged figures as well as the faces in the darkness below make me fearful I'd say this is a depiction of a wedding, but it seems to be one that is going to cause the people at the bottom some serious grief. The people or angels falling, the dark and murky colors, and the fiery color at the top near the buildings makes this all seem like an omen of doom.",Fear
aubrey-beardsley_frontispiece-for-venus-and-tannhauser,Art_Nouveau_Modern,excitement,6,3,0,https://uploads6.wikiart.org/images/aubrey-beardsley/frontispiece-for-venus-and-tannhauser.jpg,"it's a very detailed drawing. lots to look at. I find the black and white composition and dense floral pattern to be very engaging. Venus' face an hair are really arresting and different, and her Pan companions look intimidating and evil in contrast",Fear
egon-schiele_seated-male-nude-right-hand-outstretched-1910,Expressionism,fear,5,6,1,https://uploads1.wikiart.org/images/egon-schiele/seated-male-nude-right-hand-outstretched-1910.jpg,It's a colorful painting of a body with no head. The colors are nice but the subject matter is unsettling. This figure appears to be decomposing and rotting from atrophy Very creepy and scary looking body with no head,Disgust
carlo-crivelli_saint-peter-and-saint-paul,Early_Renaissance,fear,5,6,1,https://uploads2.wikiart.org/images/carlo-crivelli/saint-peter-and-saint-paul.jpg,It feels like we shouldn't be watching these two men through the door it looks like he is hiding and is armed. I wonder if the man is being reprimanded.,Fear
robert-silvers_girl-with-the-pearl-earring-2008,Pop_Art,awe,5,1,0,https://uploads8.wikiart.org/images/robert-silvers/girl-with-the-pearl-earring-2008.jpg,The smaller pieces making of a whole picture is admirable and inspiring. I really love how this piece is made up of many other images. The painting is formed using pictures of other people.  It really is awe-inspiring to look at.,Awe
