painting,predicted_emotion,similarity
agostino-carracci_venus-and-mars-1600,This artwork conveys a feeling of anger.,0.1250002384185791
diego-velazquez_self-portrait-1,This artwork conveys a feeling of anger.,0.1977582573890686
felicien-rops_tienne-soubre,This artwork conveys a feeling of disgust.,0.12500035762786865
koloman-moser_animal-motif-for-a-picture-book,This artwork conveys a feeling of disgust.,0.3443252742290497
martiros-saryan_woman-with-mask-s-i-dymshits-1913,This artwork conveys a feeling of disgust.,0.22282586991786957
max-pechstein_am-ufer-at-the-riverbank-1920,This artwork conveys a feeling of disgust.,0.20992811024188995
andy-warhol_mobil,This artwork conveys a feeling of fear.,0.1906420737504959
joshua-reynolds_john-russel-4th-duke-of-bedford-1762,This artwork conveys a feeling of disgust.,0.32924848794937134
marc-chagall_peasant-with-a-clock-1968,This artwork conveys a feeling of anger.,0.22084003686904907
allen-jones_chest-1968,This artwork conveys a feeling of anger.,0.21856804192066193
felicien-rops_lady-with-puppet,This artwork conveys a feeling of anger.,0.15213942527770996
camille-bombois_en-haut-de-la-colline,This artwork conveys a feeling of disgust.,0.3656824231147766
morris-louis_k-s-i-1959,This artwork conveys a feeling of amusement.,0.1999853402376175
cornelis-de-vos_portrait-of-elisabeth-mertens-and-her-late-husband,This artwork conveys a feeling of awe.,0.21464408934116364
hans-memling_portrait-of-jacques-of-savoy-1470,This artwork conveys a feeling of anger.,0.1822693943977356
john-duncan-fergusson_woman-in-hat-1950,This artwork conveys a feeling of anger.,0.2676796019077301
paula-modersohn-becker_mother-and-child,This artwork conveys a feeling of anger.,0.19852764904499054
john-russell_portrait-of-an-unknown-girl-in-a-white-dress-1800,This artwork conveys a feeling of disgust.,0.3255697786808014
akseli-gallen-kallela_study-1889,This artwork conveys a feeling of disgust.,0.16148921847343445
maurice-quentin-de-la-tour_self-portrait-with-the-bull-s-eye-1737,This artwork conveys a feeling of disgust.,0.27526089549064636
francois-boucher_the-toilet,This artwork conveys a feeling of sadness.,0.22412092983722687
fernand-leger_two-women-two-sisters-1935,This artwork conveys a feeling of fear.,0.19866876304149628
marc-chagall_god-sends-aaron-to-meet-moses-in-the-desert,This artwork conveys a feeling of anger.,0.18590280413627625
hilma-af-klint_svanen-1914,This artwork conveys a feeling of fear.,0.21442703902721405
albrecht-durer_the-owl-in-fight-with-other-birds,This artwork conveys a feeling of disgust.,0.12500041723251343
giovanni-domenico-tiepolo_minuet-1756,This artwork conveys a feeling of anger.,0.12500029802322388
hans-von-aachen_matthias-holy-roman-emperor-as-king-of-bohemia-1612,This artwork conveys a feeling of anger.,0.3070465624332428
genevieve-asse_sans-titre-viii-1984,This artwork conveys a feeling of fear.,0.406185120344162
james-tissot_caricature-of-john-pender,This artwork conveys a feeling of disgust.,0.20523476600646973
georges-braque_guitar-program-statue-d-epouvante-1913,This artwork conveys a feeling of amusement.,0.44385620951652527
rembrandt_self-portrait-in-a-fur-cap-bust-1630,This artwork conveys a feeling of excitement.,0.2052004188299179
maria-primachenko_black-monkey-1936,This artwork conveys a feeling of amusement.,0.19426526129245758
dmitry-levitzky_portrait-of-e-i-molchanova-1776,This artwork conveys a feeling of amusement.,0.16811613738536835
paul-cezanne_bather-1887,This artwork conveys a feeling of amusement.,0.21064141392707825
marko-pogacnik_untitled,This artwork conveys a feeling of fear.,0.3780342638492584
sven-lukin_diamond-head-1964,This artwork conveys a feeling of anger.,0.3682838976383209
adriaen-brouwer_the-drinker,This artwork conveys a feeling of disgust.,0.4409731328487396
georges-braque_the-duet-1937,This artwork conveys a feeling of anger.,0.12500107288360596
patrick-caulfield_glazed-earthenware-1976,This artwork conveys a feeling of anger.,0.2644864022731781
walasse-ting_sweet-milky-way-1969,This artwork conveys a feeling of anger.,0.19721096754074097
pablo-picasso_crouching-female-nude-1959,This artwork conveys a feeling of anger.,0.24648922681808472
robert-indiana_summer-i-hope-wall-rainbow-roll-1-2010,This artwork conveys a feeling of amusement.,0.36225461959838867
hieronymus-bosch_beehive-and-witches,This artwork conveys a feeling of amusement.,0.2741207778453827
amedeo-modigliani_young-man-with-cap-1919,This artwork conveys a feeling of anger.,0.244986891746521
john-french-sloan_boy-with-piccolo-1904,This artwork conveys a feeling of disgust.,0.16824999451637268
george-stubbs_baronet-1794,This artwork conveys a feeling of fear.,0.287077397108078
adriaen-brouwer_youth-making-a-face,This artwork conveys a feeling of contentment.,0.12500107288360596
peter-max_toulouse-lautrec-1966,This artwork conveys a feeling of anger.,0.12500005960464478
marc-chagall_pliushkin-treats-tchtchikov,This artwork conveys a feeling of sadness.,0.17533639073371887
francois-boucher_triumph-of-venus-1740(1),This artwork conveys a feeling of fear.,0.18709875643253326
henri-rousseau_exotic-landscape-1908,This artwork conveys a feeling of disgust.,0.16021063923835754
rembrandt_marten-looten,This artwork conveys a feeling of disgust.,0.20362883806228638
keith-haring_untitled-1986,This artwork conveys a feeling of anger.,0.1250009536743164
otto-freundlich_head-self-portrait-1923,This artwork conveys a feeling of anger.,0.2083086371421814
terry-frost_stacked-on-the-side-1970,This artwork conveys a feeling of amusement.,0.20328834652900696
pablo-picasso_harlequin-1915,This artwork conveys a feeling of disgust.,0.30713382363319397
thomas-theodor-heine_the-two-dachshunds-1906,This artwork conveys a feeling of disgust.,0.18268431723117828
edouard-manet_the-balcony-1869,This artwork conveys a feeling of awe.,0.19960801303386688
diego-velazquez_count-duke-of-olivares,This artwork conveys a feeling of disgust.,0.1250002384185791
aldo-mondino_collage-1973,This artwork conveys a feeling of disgust.,0.28249529004096985
fernando-botero_self-portrait-as-spanish-conquistador,This artwork conveys a feeling of anger.,0.12500035762786865
utagawa-kuniyoshi_women-11,This artwork conveys a feeling of excitement.,0.2104915976524353
carl-bloch_in-a-roman-osteria-1866,This artwork conveys a feeling of anger.,0.1250007152557373
valerio-adami_hotel-chelsea-bathroom-1968,This artwork conveys a feeling of disgust.,0.1250004768371582
edward-ruscha_actual-size-1962,This artwork conveys a feeling of disgust.,0.2697133719921112
fernand-leger_red-pot-1926,This artwork conveys a feeling of amusement.,0.4072137176990509
henri-de-toulouse-lautrec_moulin-rouge-l-union-franco-russian,This artwork conveys a feeling of anger.,0.125
pieter-bruegel-the-elder_the-painter-and-the-art-lover-1565,This artwork conveys a feeling of contentment.,0.12500065565109253
george-luks_portrait-of-a-girl-in-black,This artwork conveys a feeling of anger.,0.12500005960464478
antonio-palolo_untitled-1968,This artwork conveys a feeling of disgust.,0.4658980071544647
arman-manookian_hawaiian-flowers,This artwork conveys a feeling of disgust.,0.624758243560791
michel-carrade_unknown-title-16,This artwork conveys a feeling of anger.,0.2999482750892639
victor-pasmore_the-passion-flower-1986,This artwork conveys a feeling of anger.,0.3408964276313782
pablo-picasso_the-absinthe-drinker-1901-1,This artwork conveys a feeling of fear.,0.15366889536380768
william-hogarth_the-graham-children-1742,This artwork conveys a feeling of fear.,0.17613594233989716
diego-velazquez_democritus-1629,This artwork conveys a feeling of disgust.,0.12500035762786865
george-stubbs_pavian-and-albino-makake,This artwork conveys a feeling of amusement.,0.18177200853824615
andy-warhol_cherub-and-horse-1956,This artwork conveys a feeling of anger.,0.22671879827976227
fernando-botero_lefty-and-his-gang,This artwork conveys a feeling of disgust.,0.20886418223381042
lucas-cranach-the-elder_portrait-of-martin-luther-as-an-augustinian-monk,This artwork conveys a feeling of disgust.,0.23659448325634003
carl-larsson_christmas-morning-1894(1),This artwork conveys a feeling of anger.,0.12500131130218506
utagawa-kuniyoshi_the-actor-7,This artwork conveys a feeling of fear.,0.1893407553434372
gene-davis_jack-in-the-box-1969,This artwork conveys a feeling of disgust.,0.27330872416496277
keisai-eisen_oiso(1),This artwork conveys a feeling of awe.,0.24616070091724396
wassily-kandinsky_landscape-with-factory-chimney-1910,This artwork conveys a feeling of disgust.,0.24829503893852234
