painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_fear_shot
giovanni-bellini_virgin-and-child,High_Renaissance,contentment,6,2,0,https://uploads3.wikiart.org/images/giovanni-bellini/virgin-and-child.jpg,This painting makes me feel contentment because the baby is sleeping peacefully and the mom is watching over him. This makes it seem like the baby is safe and taken care of. Nice scene of what it's like to be a mother. The blue is very vibrant Vibrant blue robe and chubby baby in possibly an Italian town.,Contentment
carl-larsson_lisbeth-in-blue-bird-1900(1),Art_Nouveau_Modern,contentment,5,2,0,https://uploads2.wikiart.org/images/carl-larsson/lisbeth-in-blue-bird-1900(1).jpg,"Looks like that woman is putting on a show for her friends in her yard. Looks like a nice spring afternoon. She might be doing a little dance in that beautiful lot in front of the house, to simpler times and contentment. I love the look of the people outside as well as the backyard and colors that are used therefore it makes me feel happy.",Contentment
michelangelo_study-of-christ-on-the-cross-between-the-virgin-and-st-john-the-evangelist,High_Renaissance,sadness,6,7,1,https://uploads3.wikiart.org/images/michelangelo/study-of-christ-on-the-cross-between-the-virgin-and-st-john-the-evangelist.jpg,"The simplicity in the colors of the crussifiction of Jesus makes the sadnnes of this so much more real This looks like Jesus on thew crucifix with people mourning at his feet. It seems sad to me both because of the gray/brown color palette and shadowy figures and because of what it depicts. There is someone who has died or is in the process of dying and two mourners alongside them. One of the mourners is so shadowy that it suggests they may be someone who is already dead, like a spirit come to greet this new soul to the other side. crucification and torture scenes are very difficult to look at",Sadness
albrecht-durer_lamentation-over-christ-1507,Northern_Renaissance,sadness,5,7,1,https://uploads4.wikiart.org/images/albrecht-durer/lamentation-over-christ-1507.jpg,"The man on the ground looks like he's dying, since his eyes are closing and he has holes in his feet People are being beaten and stoned to death. The man suffers in pain after just being removed from the cross.",Fear
carl-ludwig-johann-christineck_portrait-of-a-young-woman-in-a-red-dress-1775,Rococo,contentment,5,2,0,https://uploads1.wikiart.org/images/carl-ludwig-johann-christineck/portrait-of-a-young-woman-in-a-red-dress-1775.jpg,"An Adult female staring out at an adoring fans, giving a sense outwardly of royalty. This portrait is  elegant and content in her smile and the muted browns of the time Her face is calm and expression unassuming.",Contentment
aubrey-beardsley_frontispiece-for-venus-and-tannhauser,Art_Nouveau_Modern,excitement,6,3,0,https://uploads6.wikiart.org/images/aubrey-beardsley/frontispiece-for-venus-and-tannhauser.jpg,"it's a very detailed drawing. lots to look at. I find the black and white composition and dense floral pattern to be very engaging. Venus' face an hair are really arresting and different, and her Pan companions look intimidating and evil in contrast",Fear
marcel-duchamp_church-at-blainville-1902,Post_Impressionism,contentment,5,2,0,https://uploads1.wikiart.org/images/marcel-duchamp/church-at-blainville-1902.jpg,"Simple, yet beautiful church on a hill in this painting. i like the color difference in photo and the brightness of the church. The house sits quietly and gently on the top of the hill. Comes off as a very small and peaceful Church",Contentment
john-constable_the-white-horse-1819,Romanticism,contentment,5,2,0,https://uploads5.wikiart.org/images/john-constable/the-white-horse-1819.jpg,A nice quiet day to walk around the calming pond The scene of clouds over a rural town depicts the everyday farm life.,Contentment
annibale-carracci_the-fishing,Baroque,awe,5,1,0,https://uploads8.wikiart.org/images/annibale-carracci/the-fishing.jpg,"Dusky colors, peaceful landscape, some people appear to be looking at something in the sky. The level of detail for such small depictions of people The scale of this painting is awe inspiring",Awe
albrecht-durer_the-descent-of-the-holy-spirit-1511,Northern_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/albrecht-durer/the-descent-of-the-holy-spirit-1511.jpg,"The small bird with a white aura makes for an awe inspiring sight. I know well what scene is being depicted, and I feel awe at the work of the Holy Spirit and how 2000 years later we still celebrate the event. An angel breaks through the dark sky to save the people. This is a religious painting about the Holy Ghost, which I find awesome.",Awe
camille-pissarro_the-laundry-woman-1879,Impressionism,contentment,6,2,0,https://uploads0.wikiart.org/images/camille-pissarro/the-laundry-woman-1879.jpg,The sponge in the woman's hand is soapy and sufficient for cleaning the garment. A person doing house work without technology. Its an ordinary task done in an oridinary surrounding.,Contentment
mstislav-dobuzhinsky_city-1914,Symbolism,contentment,6,2,0,https://uploads0.wikiart.org/images/mstislav-dobuzhinsky/city-1914.jpg,"The small windows on the tall building look like jail calls in a tower The town is quiet and clean in the early morning I like the detail in the architecture, especially on the shingles of the little house.",Contentment
claude-monet_the-effect-of-fog-near-dieppe,Impressionism,fear,5,6,1,https://uploads3.wikiart.org/images/claude-monet/the-effect-of-fog-near-dieppe.jpg,This looks like a frightning day to be sailing. The waters and the sky look threatening and the mountains along the side look like flames of fire. The dark grays and shapes look distressed and gangly.,Fear
koloman-moser_design-of-100-crowns-bill-1910,Art_Nouveau_Modern,amusement,6,0,0,https://uploads5.wikiart.org/images/koloman-moser/design-of-100-crowns-bill-1910.jpg,This woman's face reminds me of self absorbed women on instagram. The figure is literally staring down her nose at the viewer. The blue colors and the look on the woman's face I find amusing.,Amusement
ivan-bilibin_sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909,Art_Nouveau_Modern,contentment,6,2,0,https://uploads1.wikiart.org/images/ivan-bilibin/sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909.jpg,"The view of the skyline in the background is grand and filling me with contentment. This picture is of a home that people live in a country far away from us A banquet room in a palace is grandiose to an extreme, but facing perhaps an even grander castle ahead.",Contentment
agostino-carracci_bachus-and-ariane,Baroque,disgust,5,5,1,https://uploads5.wikiart.org/images/agostino-carracci/bachus-and-ariane.jpg,"This is just a bizarre scene that shouldn't be painted. No need for this. I don't understand the point in portraying such domination, but it's disgusting. This entire picture and the way the guy is holding the other one is just uncomfortable to me.",Disgust
marc-chagall_god-creates-man-and-gives-him-the-breath-of-life-genesis-ii-7,Naive_Art_Primitivism,sadness,5,7,1,https://uploads8.wikiart.org/images/marc-chagall/god-creates-man-and-gives-him-the-breath-of-life-genesis-ii-7.jpg,"The lady looks like she is being carried away in her death by an evil entity. The man carrying the woman makes it seem like they are running and she is hurt, it seems like they are running through a forest",Fear
morris-louis_k-s-i-1959,Color_Field_Painting,amusement,5,0,0,https://uploads2.wikiart.org/images/morris-louis/k-s-i-1959.jpg,"This one kind of made me laugh right off the bat, it looks like a v-neck shirt, very low cut. The colors look like a rainbow.  I am curious who did this as it looks like it could a grade school art project.",Amusement
giovanni-battista-tiepolo_death-of-dido,Rococo,disgust,5,5,1,https://uploads0.wikiart.org/images/giovanni-battista-tiepolo/death-of-dido.jpg,The group of men with one half naked lady is disgusting. The people on the left look like they are suffering,Disgust
henry-raeburn_portrait-of-francis-and-his-wife-eliza-dundas-cumming,Romanticism,contentment,5,2,0,https://uploads1.wikiart.org/images/henry-raeburn/portrait-of-francis-and-his-wife-eliza-dundas-cumming.jpg,A man and woman seem to be enjoying a quiet moment together. The coloring on the figures cheeks makes this feel playful,Amusement
juan-gris_portrait-of-a-man-1923,Cubism,amusement,5,0,0,https://uploads2.wikiart.org/images/juan-gris/portrait-of-a-man-1923.jpg,The face looks like a folded piece of cardboard and the curl over the eye looks somewhat playful. The Piccolo animation that is offset by warm colors in the background gives a strong and powerful piece of artwork that I would love to own. The blockiness of this figure reminds me of a LEGO figure.,Amusement
hans-holbein-the-younger_portrait-of-dirk-tybis-1533,Northern_Renaissance,sadness,6,7,1,https://uploads4.wikiart.org/images/hans-holbein-the-younger/portrait-of-dirk-tybis-1533.jpg,"The man's blank expression makes him appear like he's bored with his job. Given the broken arrow and a couple other items I can't identify, I'm wondering what the context is. He looks both stern and sad.  He might or might not be Native...He obviously has some notes; perhaps he's approaching someone to get repaid. It's a bit sad. The man's dull, serious expression reminds me of my mind-numbing days at work.",Sadness
andrea-del-sarto_lament-of-christ,High_Renaissance,sadness,5,7,1,https://uploads3.wikiart.org/images/andrea-del-sarto/lament-of-christ.jpg,"The man looks to be in such pain and there is a discomfort present in all others painting that makes me feel sad/worried. since the figure looks in pain and the existence of other figures indicate death (an angel like and a nun) The theme and grouping is sorrowful and mourning, and the background colors and the are dark. The man is obviously ill. The woman appears to be praying.",Sadness
edvard-munch_self-portrait-in-hell-1903,Expressionism,fear,5,6,1,https://uploads0.wikiart.org/images/edvard-munch/self-portrait-in-hell-1903.jpg,"The orange background makes me think of fire and the black is like smoke as if the man is in a fire or in Hell The red and black in the photo make the man look evil. The man's fearful face, along with the orange and black color scheme, make me believe he's burning. That black shadowy shape behind the man could be a demon, or dark wings coming from behind him. The warm orange colors of the painting make one feel like he's in the underworld.",Fear
vasily-vereshchagin_looking-out-1873,Realism,awe,6,1,0,https://uploads6.wikiart.org/images/vasily-vereshchagin/looking-out-1873.jpg,I love the colors of the grass and the clothing.  I also like the perspective used. The attention to detail and switch densely painted areas is impressive,Fear
maurice-prendergast_the-red-cape,Post_Impressionism,awe,6,1,0,https://uploads2.wikiart.org/images/maurice-prendergast/the-red-cape.jpg,I am imagining some kind of lake god emerging from the water. The brush strokes look like swampy water. Awe is the closest feeling I can pinpoint for this one - It's almost like a goddness but not quite? Reminds me of a mother nature type figure.,Awe
robert-nickle_untitled-black-on-orange-1969,Abstract_Expressionism,anger,6,4,1,https://uploads4.wikiart.org/images/robert-nickle/untitled-black-on-orange-1969.jpg,This is an intense image. The contrast between red and black is impactful and deep. This makes no sense whatsoever and frankly is a waste of paint.,Disgust
