original,only_image,image_and_utterance,only_utterance,correct_only_image,correct_image_and_utterance,correct_only_utterance
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,True,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of fear.,True,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of anger.,True,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,True,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of amusement.,False,False,True
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of awe.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,True,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of sadness.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of fear.,False,True,False
amusement,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of fear.,False,False,False
