painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,generated_emotion,last_column_pic,last_column_text
joseph-wright_landscape-with-figures-and-a-tilted-cart-matlock-hogh-tor-in-the-distance,Romanticism,awe,5,1,0,https://uploads3.wikiart.org/images/joseph-wright/landscape-with-figures-and-a-tilted-cart-matlock-hogh-tor-in-the-distance.jpg,"I feel awe looking at the hills and nature beyond. It looks like a long and weary road ahead of the figures with the horses and carriage, but nature is awesome and beautiful with the sun setting after a long day's travel. This is such a pretty scene! I love the rocks, trees, and mountains. I would love to be here. The sun pokes through the tree like a beacon of light in the distance.",Awe,Awe,Awe
mary-cassatt_the-reader-1878,Realism,contentment,10,2,0,https://uploads7.wikiart.org/images/mary-cassatt/the-reader-1878.jpg,the colors and art style gives this a dream like quality and the woman's face seems real and peaceful The boy in the image appears to be very calm and happy with his life The slumped posture of the woman while holding a book makes it appear relaxed along with the bright shades of pastels that is used. The serious expression on her face feels like she is in deep interest reading the book! The image is painted with a lot of spring time colors and the woman in the image looks like she is calm reading something while sitting outside on a porch,Contentment,Contentment,Contentment
jean-francois-millet_death-and-the-woodcutter,Realism,fear,5,6,1,https://uploads6.wikiart.org/images/jean-francois-millet/death-and-the-woodcutter.jpg,"this man has a giant scythe like the grime reaper The blade on that weapon is fierce and looks like the guy kneeling on the ground has been struck by another weapon. The grim reaper is usually in a black robe, but this charecter is wearing an off white robe and is trying to take a different approach of being scary. The man appears to have been captured by the angel of death. I am concerned for his fate.",Fear,Fear,Fear
paolo-veronese_illusory-door-1561,Mannerism_Late_Renaissance,amusement,6,0,0,https://uploads3.wikiart.org/images/paolo-veronese/illusory-door-1561.jpg,"The person looking out of the door facial expression makes me feel curious too as well as the two ladies on each side. The figures in the top niches look like real women rather than the expected sculptures, and the man peeking inside looks apprehensive.",,,
andrea-del-castagno_equestrian-monument-to-niccolo-da-tolentino-1456,Early_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/andrea-del-castagno/equestrian-monument-to-niccolo-da-tolentino-1456.jpg,"I appreciate the great stallion in this piece The stance and posture of the figures is intense. The depiction is of a war hero who saved his nation. Painting of what looks like a knight on a horse, seems impressive. a very royal or regal subject with impressive detail",Awe,Awe,Awe
tivadar-kosztka-csontvary_shipwreck-1903,Expressionism,fear,10,6,1,https://uploads1.wikiart.org/images/tivadar-kosztka-csontvary/shipwreck-1903.jpg,"The grey of the sky looks to be a disastrous storm ahead or smoke from raging fires, looks scary. The grey of the sky looks to be a disastrous storm ahead or smoke from raging fires, looks scary. The men and women on the boat appear to be in panic and makes me feel scared. The men and women on the boat appear to be in panic and makes me feel scared. This boat seems to be sailing into a heavy storm, since there are dark clouds looming This boat seems to be sailing into a heavy storm, since there are dark clouds looming The boat looks like it will sink, and it makes me fear for the lives of those on the boat since not all of them will survive. The boat looks like it will sink, and it makes me fear for the lives of those on the boat since not all of them will survive.",Fear,Fear,Fear
michelangelo_study-for-a-resurrection-of-christ-1533,High_Renaissance,fear,5,6,1,https://uploads4.wikiart.org/images/michelangelo/study-for-a-resurrection-of-christ-1533.jpg,"in this sketch, I can't tell why this muscular form is turned away and why one is turned the other way and the form on the ground, makes think of a battle scene. The people that are standing look like they are writhing in pain and the people that are on the ground looks like they are demons. The figures look like they are being tormented. the figure on the far left is posed like the rest of the people are torturing him or something",Fear,Fear,Fear
domingos-sequeira_the-worship-of-the-mages-1828,Romanticism,awe,5,1,0,https://uploads8.wikiart.org/images/domingos-sequeira/the-worship-of-the-mages-1828.jpg,"She looks like a very important person and all of the rest of the people are looking to her. She looks like a very important person and all of the rest of the people are looking to her. The detail of the scenery and the people were done by a master. The detail of the scenery and the people were done by a master. Whatever is happening here, you can tell it is a big event and a joyous occasion. Whatever is happening here, you can tell it is a big event and a joyous occasion. The moon is shining down on a biblical scene, leaving me in awe. The moon is shining down on a biblical scene, leaving me in awe.",Awe,Awe,Awe
odilon-redon_a-strange-juggler-1885,Symbolism,fear,5,6,1,https://uploads5.wikiart.org/images/odilon-redon/a-strange-juggler-1885.jpg,"the oersons eyes looks scary and mean, like they are fixing to do something wrong The look on this person's face is terrifying The person looks very scary with their eyes and the dark shadows.",Fear,Fear,Fear
andy-warhol_cherub-and-horse-1956,Naive_Art_Primitivism,amusement,5,0,0,https://uploads3.wikiart.org/images/andy-warhol/cherub-and-horse-1956.jpg,"The image of a naked, gray-haired woman standing atop a blue horse is absurd. Its a funny little picture. The horse is out of proportion which makes him amusing looking There is a seeminly sophisticated person standing naked on a blue horse.",Amusement,Amusement,Amusement
annibale-carracci_translation-of-the-holy-house,Baroque,awe,5,1,0,https://uploads8.wikiart.org/images/annibale-carracci/translation-of-the-holy-house.jpg,"The photo depicts the Blessed Mother and the Christ Child being carried by angels and to me is beautiful. I am awestruck. They all love her so much that they would lift her even on the heaviest of things. They love her and look up to her. They would do anything she asks. They look like royalty This scene reminds me of Virgin Mary and baby Jesus since the figures are being upheld by angels This picture show awe because of the subject matter, Jesus being crowned while angels prop up him and Mary is a very devine subject.",Awe,Awe,Awe
