painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_disgust_shot
guido-reni_saint-joseph,Baroque,awe,6,1,0,https://uploads2.wikiart.org/images/guido-reni/saint-joseph.jpg,"The contrast of old and young of the two figures and the golden colour made me feel awe The old man holding the newborn baby makes for a surreal scene. The human condition. Looking at the plump newness of the baby in contrast to the shriveling aged man holding the child, Knowing that from one moment comes the next moment i feel like this grandfather loves this child very dearly.",Awe
felicien-rops_human-pardon-1881,Symbolism,fear,5,6,1,https://uploads1.wikiart.org/images/felicien-rops/human-pardon-1881.jpg,"The image is of a skeleton posing a a beautiful woman to possibly lure the gentlemen in. Who knows what the intentions of the skeleton are. Walking in a dark alley and knowing that when someone turns it may not be what it seems, that is scary. It looks like death itself itself is trying to seduce the man.",Fear
diego-velazquez_juan-mateos,Baroque,contentment,6,2,0,https://uploads6.wikiart.org/images/diego-velazquez/juan-mateos.jpg,the bright light on the face shines like the sun The details of his face and neck are very life-like,Disgust
edouard-manet_young-woman-in-oriental-garb-1871,Realism,contentment,5,2,0,https://uploads8.wikiart.org/images/edouard-manet/young-woman-in-oriental-garb-1871.jpg,the subject looks very comfortable and relaxed in her gown The young girl's pale white figure is shown through a white robe Her flowing garment looks comfortable to wear and she seems calm in her expression The brown and pink on the females body give the impression the robe is see through,Contentment
albrecht-durer_lobster-1495-1,Northern_Renaissance,disgust,5,5,1,https://uploads8.wikiart.org/images/albrecht-durer/lobster-1495-1.jpg,"I feel like this crabs beady little eyes are staring at me, gross. I don't like sea food and the detail on the crab is impressive but kind of grosses me out. The crab looks like it's been dried out on the beach",Disgust
camille-corot_the-cart,Realism,awe,5,1,0,https://uploads1.wikiart.org/images/camille-corot/the-cart.jpg,"Beautiful wild west sort of scene. The cart has nice details, and I love the panoramic view of the background. The wagon looks like a photo it's amazing that that's painted",Awe
giovanni-bellini_virgin-and-child,High_Renaissance,contentment,6,2,0,https://uploads3.wikiart.org/images/giovanni-bellini/virgin-and-child.jpg,This painting makes me feel contentment because the baby is sleeping peacefully and the mom is watching over him. This makes it seem like the baby is safe and taken care of. Nice scene of what it's like to be a mother. The blue is very vibrant Vibrant blue robe and chubby baby in possibly an Italian town.,Contentment
koloman-moser_girl-in-landscape-1898,Art_Nouveau_Modern,fear,6,6,1,https://uploads6.wikiart.org/images/koloman-moser/girl-in-landscape-1898.jpg,Moody young woman with a stare that is a bit evil done with pencil ?   Eyes are the wind to the soul and she makes a person nervous. The woman's flowing hair and expression are ghostly The light shading of the woman makes her appear mysterious and evil,Disgust
edward-hopper_queensborough-bridge,New_Realism,awe,5,1,0,https://uploads4.wikiart.org/images/edward-hopper/queensborough-bridge.jpg,Feeling the fog in the air walking under a bridge that size always makes me look around in awe and appreciate the scene. Appears to be a history landmark that you would see in another country. An awe-inspiring bridge over a river the painting shows rustic look,Awe
edouard-manet_the-balcony-1869,Realism,amusement,5,0,0,https://uploads0.wikiart.org/images/edouard-manet/the-balcony-1869.jpg,"The preturbed expression on the young, maybe teen girl, is amusing. The seated woman looks like she's bored out of her mind, which made me laugh.",Amusement
camille-pissarro_the-laundry-woman-1879,Impressionism,contentment,6,2,0,https://uploads0.wikiart.org/images/camille-pissarro/the-laundry-woman-1879.jpg,The sponge in the woman's hand is soapy and sufficient for cleaning the garment. A person doing house work without technology. Its an ordinary task done in an oridinary surrounding.,Disgust
nicholas-roerich_servant-1912,Art_Nouveau_Modern,contentment,5,2,0,https://uploads8.wikiart.org/images/nicholas-roerich/servant-1912.jpg,This would take on new meaning depending on my moods due to the lack of facial expression. The black on the mans feet look like he just has leather wrapped around them,Disgust
piero-dorazio_cercles-de-nuit-1992,Color_Field_Painting,contentment,5,2,0,https://uploads4.wikiart.org/images/piero-dorazio/cercles-de-nuit-1992.jpg,"Love the colors, the calm blue background, and bright swirls. No black to drag it down. Perfect. Love the colors, the calm blue background, and bright swirls. No black to drag it down. Perfect. looking at the bubbles forming and popping in my soda looking at the bubbles forming and popping in my soda The swirls and complimentary colors make it look like roses almost, which is cool. The swirls and complimentary colors make it look like roses almost, which is cool.",Amusement
giovanni-battista-tiepolo_death-of-dido,Rococo,disgust,5,5,1,https://uploads0.wikiart.org/images/giovanni-battista-tiepolo/death-of-dido.jpg,The group of men with one half naked lady is disgusting. The people on the left look like they are suffering,Disgust
konstantin-somov_exlibris-of-s-zenger,Symbolism,contentment,6,2,0,https://uploads7.wikiart.org/images/konstantin-somov/exlibris-of-s-zenger.jpg,"A woman stretched on a chaise reading a book is a picture of comfort and recreational ease. The black background suggests that she is lost in the world of her book, her surroundings having faded from notice. The reclining woman's elongated form seems at ease on the formal furniture as she reads. The leisurely pose and book in hand give this piece a relaxing mood This lady seems relaxed and content laying on her chaise lounge. It is a very simple drawing, but I still share the feeling of the woman relaxing with a snack or drink.",Contentment
