painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_excitement_shot
raphael-kirchner_art-bronzes-1901,Art_Nouveau_Modern,disgust,5,5,1,https://uploads3.wikiart.org/images/raphael-kirchner/art-bronzes-1901.jpg,The figure in the painting seems to be devouring everything from what I can see. This photo is intimidating because it reminds me of the devil,Fear
sandro-botticelli_purgatory-1490(1),Early_Renaissance,disgust,5,5,1,https://uploads5.wikiart.org/images/sandro-botticelli/purgatory-1490(1).jpg,"This is a drawing depicting ancient Greece, but it hasn't been finished. It has a lot of detail but you can't even really make out what's going on here.",Disgust
ivan-shishkin_view-in-the-vicinity-of-st-petersburg-1856,Realism,contentment,6,2,0,https://uploads8.wikiart.org/images/ivan-shishkin/view-in-the-vicinity-of-st-petersburg-1856.jpg,"a man with a wagon and cattle ride the dirt road I like the play of light and shadow, and the figures on the path give perspective. Love the nature view. Makes you think about simpler times. Wonderful detail, the shadows contrast nicely with the blue sky.",Contentment
ogata-gekko_nihon-hana-zue-1896-3,Ukiyo_e,awe,5,1,0,https://uploads3.wikiart.org/images/ogata-gekko/nihon-hana-zue-1896-3.jpg,"I love the delicate pencil-style lines, especially where they depict trees in the background I respect this man and his position.  he is a powerful person that commands respect.  Humbling. The way the people are looking around makes it look like they are discovering something new. I enjoy the details in the painting that seem minimal but important.",Awe
james-tissot_caricature-of-john-pender,Realism,amusement,5,0,0,https://uploads8.wikiart.org/images/james-tissot/caricature-of-john-pender.jpg,This looks like a goofy old man that might chastise me for being on his lawn Iam amused by the way the man's head looks too large for his body. I enjoy looking at looking at small people.,Amusement
anna-ostroumova-lebedeva_cypress-trees-1902,Art_Nouveau_Modern,fear,6,6,1,https://uploads4.wikiart.org/images/anna-ostroumova-lebedeva/cypress-trees-1902.jpg,"Very gothic looking, like the trees of an old mansion. There is a sensation of worry evoked by the drab black space. The lack of color removes joy and creates a sense of dread, the tall trees hide a threat. the black tall trees look scary to me",Fear
hiroshige_hibiscus,Ukiyo_e,contentment,6,2,0,https://uploads6.wikiart.org/images/hiroshige/hibiscus.jpg,"pleasant and nicely colored, it looks like a fan which makes me feel relaxed The flowers are very calming. It's so beautiful, the color scheme and shape of the border are calming. it looks very cool, like japanese artwork. I find it interesting they use blue colors to paint the leaves",Contentment
esaias-van-de-velde_road-next-to-a-waterfall,Baroque,contentment,6,2,0,https://uploads5.wikiart.org/images/esaias-van-de-velde/road-next-to-a-waterfall.jpg,"Fine lines used to draw the water makes the picture look like the water is flowing down the river. These men seem to be on a journey to this house and are almost there. wonderful use of line work, the lines create great shading and depth.",Excitement
john-french-sloan_spring-washington-square-1928,New_Realism,contentment,5,2,0,https://uploads8.wikiart.org/images/john-french-sloan/spring-washington-square-1928.jpg,"It looks like a park in a big city, and people are walking through the park. Another peaceful image, people strolling through a park and enjoying their day, not a care in the world. The painting looks like a pretty and peaceful park to be in.",Contentment
albrecht-durer_the-descent-of-the-holy-spirit-1511,Northern_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/albrecht-durer/the-descent-of-the-holy-spirit-1511.jpg,"The small bird with a white aura makes for an awe inspiring sight. I know well what scene is being depicted, and I feel awe at the work of the Holy Spirit and how 2000 years later we still celebrate the event. An angel breaks through the dark sky to save the people. This is a religious painting about the Holy Ghost, which I find awesome.",Awe
max-pechstein_dancer-pair-of-dancers-1909(1),Expressionism,amusement,5,0,0,https://uploads5.wikiart.org/images/max-pechstein/dancer-pair-of-dancers-1909(1).jpg,"I love how he is holding her  up and her skirt is open and her panties are forming a heart. man engaged in ""the oldest profession"" The couple in the picture looks like theyr'e having a fun time.",Amusement
paul-cezanne_the-battle-of-love-1876,Impressionism,excitement,5,3,0,https://uploads6.wikiart.org/images/paul-cezanne/the-battle-of-love-1876.jpg,"The chaotic outlined figures seem as if the were added to fill in insipid spaces. So much sex and nakedness out in the beautiful sunshine, makes me want to be there.",Amusement
benozzo-gozzoli_view-of-the-right-hand-wall-of-the-chapel-1465,Early_Renaissance,awe,6,1,0,https://uploads5.wikiart.org/images/benozzo-gozzoli/view-of-the-right-hand-wall-of-the-chapel-1465.jpg,"beautiful and detailed painting.  very intricate love the colors in this, the details within the paintings are awe inspiring The detail is just amazing over all",Awe
john-french-sloan_spring-rain-new-york-1912,New_Realism,awe,5,1,0,https://uploads4.wikiart.org/images/john-french-sloan/spring-rain-new-york-1912.jpg,"Looks like Central park, I am interested by where the woman is going. The painting is very detailed and relaxing.",Contentment
claude-monet_camille-monet-in-the-garden,Impressionism,contentment,6,2,0,https://uploads1.wikiart.org/images/claude-monet/camille-monet-in-the-garden.jpg,"This image makes me feel calm and happy with all the flowers and the nicely dressed individuals. Looks like a comfy, bright afternoon and the people seem very relaxed.",Contentment
armand-guillaumin_la-place-valhubert-1875,Impressionism,contentment,5,2,0,https://uploads2.wikiart.org/images/armand-guillaumin/la-place-valhubert-1875.jpg,The peaceful snow and the slow walking of two friends through it is soothing. The colors of the sky make it look like a pleasent cold early morning. This beautiful combinations of colors is so relaxing and satisfying to look at It looks like a very nice place to take a walk.,Contentment
thomas-theodor-heine_the-two-dachshunds-1906,Art_Nouveau_Modern,amusement,5,0,0,https://uploads5.wikiart.org/images/thomas-theodor-heine/the-two-dachshunds-1906.jpg,"Flag symbol of the country called dog lovers.where dogs have more rights than human. Such happy looking puppies, this makes me feel optimistic and happy. The two dogs hugging a heart shaped vase is rather hiarious for me.",Amusement
theodoros-stamos_double-green-sun-box-1967,Color_Field_Painting,sadness,5,7,1,https://uploads3.wikiart.org/images/theodoros-stamos/double-green-sun-box-1967.jpg,The colors are compatible but the subject matter is lacking. Looks like someones mum has only trusted the to have two colour of paints open at the one time,Excitement
paolo-veronese_ceiling-paintings-1582,Mannerism_Late_Renaissance,awe,6,1,0,https://uploads7.wikiart.org/images/paolo-veronese/ceiling-paintings-1582.jpg,I love the look of this frame and the shape of the photos make me want to see more. The richness of the colors and the ornateness of the frames bespeaks a deep devotion. The collage of paintings looks really nice but I'd like to see them in better detail.,Awe
camille-corot_goatherd-standing-playing-the-flute-under-the-trees-1855,Realism,contentment,6,2,0,https://uploads4.wikiart.org/images/camille-corot/goatherd-standing-playing-the-flute-under-the-trees-1855.jpg,"What a cute little river leading into a body of water. Such a pretty view of the body of water at the end of the river. I love the colors in this, the greens and browns are very warm and the scene is amazing",Contentment
jean-francois-millet_death-and-the-woodcutter,Realism,fear,5,6,1,https://uploads6.wikiart.org/images/jean-francois-millet/death-and-the-woodcutter.jpg,"this man has a giant scythe like the grime reaper The blade on that weapon is fierce and looks like the guy kneeling on the ground has been struck by another weapon. The grim reaper is usually in a black robe, but this charecter is wearing an off white robe and is trying to take a different approach of being scary. The man appears to have been captured by the angel of death. I am concerned for his fate.",Fear
vincent-van-gogh_silhouette-of-a-peasant-woman-digging-carrots,Post_Impressionism,fear,5,6,1,https://uploads5.wikiart.org/images/vincent-van-gogh/silhouette-of-a-peasant-woman-digging-carrots.jpg,"The way this figure is hunched over with claw-like fingers is quite creepy While the individuals seems to be providing a regular act, the black form makes me feel a bit scared.",Fear
amedeo-modigliani_seated-algerian-almaiisa-1916,Expressionism,contentment,5,2,0,https://uploads8.wikiart.org/images/amedeo-modigliani/seated-algerian-almaiisa-1916.jpg,Satisfied housewife. it looks like it was done by a painter that still is in the process of learning but its still a nice piece,Contentment
albrecht-durer_hohenasperg-siege-by-georg-von-frundsberg-in-war-of-swabian-federal-versus-herzog-ulrich,Northern_Renaissance,awe,5,1,0,https://uploads1.wikiart.org/images/albrecht-durer/hohenasperg-siege-by-georg-von-frundsberg-in-war-of-swabian-federal-versus-herzog-ulrich.jpg,There is so much detail and Percision in this drawing that makes me feel all the picture looks like a map of something in another country The castle on top of the hill looks straight up majestic yet scary at the same time.,Awe
laszlo-mednyanszky_fires-in-the-forest-1910,Expressionism,fear,5,6,1,https://uploads4.wikiart.org/images/laszlo-mednyanszky/fires-in-the-forest-1910.jpg,"The way these trees are positioned with the orange sky make them look like they are about to catch fire. The golden yellow and red colors resemble a forest fire The green glow of the sky causes alarm, what is on its way?",Fear
tano-festa_omaggio-a-francis-bacon-1981,Pop_Art,contentment,5,2,0,https://uploads0.wikiart.org/images/tano-festa/omaggio-a-francis-bacon-1981.jpg,"beautiful contrast of colors, the blue is dark but bright Abstract art makes me feel happy and makes me search for meaning.",Amusement
diego-velazquez_self-portrait-1,Baroque,amusement,5,0,0,https://uploads1.wikiart.org/images/diego-velazquez/self-portrait-1.jpg,"The mans collar looks like a college graduation hat, as if his head has burst through it. The neckline of that shirt is ridiculous as well as his hair and mustache. I think its cool because the guy looks like Russel brand if he was a founding father. so pretty funny.",Amusement
petrus-christus_annunciation-and-nativity-1452,Northern_Renaissance,awe,5,1,0,https://uploads7.wikiart.org/images/petrus-christus/annunciation-and-nativity-1452.jpg,The paintings from this time period and style always astound me with how long thy would have taken the artist to complete. I feel inspired and intrigued by seeing the stunning clothing and the newborn baby These scenes are holy since they feature an angel and the baby Jesus all of the sharp and meticulas detail is impressive,Awe
peter-paul-rubens_hygeia-goddess-of-health,Baroque,awe,5,1,0,https://uploads3.wikiart.org/images/peter-paul-rubens/hygeia-goddess-of-health.jpg,"I am in awe because it shows a woman holding a snake, the details are also very amazing and it's a great portrait. THe colorations match so well! The woman looks strong and powerful holding the snake without fear. The painting is very detailed and looks like it has a lot of subtext in it.",Awe
eric-fischl_so-she-moved-into-the-light,Contemporary_Realism,amusement,6,0,0,https://uploads0.wikiart.org/images/eric-fischl/so-she-moved-into-the-light.jpg,"Why is everyone looking at me? The juxtaposition between the different figures is funny Her legs take up 2/3 of her body length, she's being stared at by a guy in  a chicken suit, and about to be abducted by aliens.",Amusement
horace-pippin_the-warped-table-still-life-1940,Post_Impressionism,contentment,6,2,0,https://uploads7.wikiart.org/images/horace-pippin/the-warped-table-still-life-1940.jpg,This looks like a primitive painting of a cheerful still life of fruit and a rose on a side table. It just has a happy feeling about it. The most important and basic of things come with nature. A simple setting with simple colors makes it pleasant.,Contentment
albrecht-durer_father-s-robe-god,Northern_Renaissance,fear,5,6,1,https://uploads2.wikiart.org/images/albrecht-durer/father-s-robe-god.jpg,There is a haunting quality to the folds of the garments without any human or animal forms inside. Looks like there could be something scary under the sheet,Fear
marc-chagall_musicians-1979,Naive_Art_Primitivism,excitement,5,3,0,https://uploads6.wikiart.org/images/marc-chagall/musicians-1979.jpg,It's exciting seeing the man play his instrument for his lady. the people seem to be celebrating something and enjoying themselves,Amusement
paolo-veronese_annunciation-1558,Mannerism_Late_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/paolo-veronese/annunciation-1558.jpg,"The play of light and shadow is remarkable. I""m rather impressed with the level of trompe l'oeill The painting is marvelous, so much talent.",Awe
henk-peeters_untitled-1,Minimalism,sadness,5,7,1,https://uploads2.wikiart.org/images/henk-peeters/untitled-1.jpg,The colors are muted and remind me of a funeral for some reason The grayish yellow background feels cold and unfriendly,Sadness
giovanni-battista-tiepolo_death-of-dido,Rococo,disgust,5,5,1,https://uploads0.wikiart.org/images/giovanni-battista-tiepolo/death-of-dido.jpg,The group of men with one half naked lady is disgusting. The people on the left look like they are suffering,Disgust
hans-baldung_the-flood-1516,Northern_Renaissance,fear,5,6,1,https://uploads6.wikiart.org/images/hans-baldung/the-flood-1516.jpg,"the people seem to be struggling and fighting to get up and out. The dark cloud above is very ominous Adult, children, and animals struggle in the sea clinging to some sort of boat. The black clouds with one shaft of golden light coming from above suggest this is a divine disaster, a terrifying thought. The people have anguished looks on their faces and they appear to be trying to climb into the box that is ascending to the heavens.",Fear
vasily-tropinin_not_detected_241124,Romanticism,contentment,5,2,0,https://uploads5.wikiart.org/images/vasily-tropinin/not_detected_241124.jpg,The man looks like he's pulled up the onions from his garden The man is down on one knee appearing to be appealing to woman.,Excitement
gustave-courbet_portrait-of-amand-gautier-1867,Realism,fear,6,6,1,https://uploads7.wikiart.org/images/gustave-courbet/portrait-of-amand-gautier-1867.jpg,The way his head is painted with the two blemishes resemble horns growing out of his forehead. This man looks like he is growing horns and it's creepy.,Disgust
peter-paul-rubens_juno-and-argus,Baroque,awe,5,1,0,https://uploads2.wikiart.org/images/peter-paul-rubens/juno-and-argus.jpg,"The attention to detail draws me into the painting Absolutely amazing, I love the detail of all the humans in the photo. It also has a lot going on and makes me want to understand it.",Excitement
morris-louis_k-s-i-1959,Color_Field_Painting,amusement,5,0,0,https://uploads2.wikiart.org/images/morris-louis/k-s-i-1959.jpg,"This one kind of made me laugh right off the bat, it looks like a v-neck shirt, very low cut. The colors look like a rainbow.  I am curious who did this as it looks like it could a grade school art project.",Amusement
alexandre-benois_self-portrait(2),Post_Impressionism,contentment,6,2,0,https://uploads3.wikiart.org/images/alexandre-benois/self-portrait(2).jpg,The figure looks at ease with himself calm looking person,Contentment
mary-cassatt_the-reader-1878,Realism,contentment,10,2,0,https://uploads7.wikiart.org/images/mary-cassatt/the-reader-1878.jpg,the colors and art style gives this a dream like quality and the woman's face seems real and peaceful The boy in the image appears to be very calm and happy with his life The slumped posture of the woman while holding a book makes it appear relaxed along with the bright shades of pastels that is used. The serious expression on her face feels like she is in deep interest reading the book! The image is painted with a lot of spring time colors and the woman in the image looks like she is calm reading something while sitting outside on a porch,Contentment
martin-schongauer_christ-s-birth-1,Northern_Renaissance,contentment,5,2,0,https://uploads4.wikiart.org/images/martin-schongauer/christ-s-birth-1.jpg,"This woman is praying with her husband, it would appear. Her husband is holding a cane and may not get around on his own too well. this seems like a rendition of Jesus painting The couple was so poor they had to have their baby on a stall in a barn.",Awe
hieronymus-bosch_the-temptation-of-st-anthony-1516-6,Northern_Renaissance,fear,5,6,1,https://uploads4.wikiart.org/images/hieronymus-bosch/the-temptation-of-st-anthony-1516-6.jpg,"The homes here are shrouded in dark, but there also seems to be a fire burning in the background that threatens them. It looks like something is exploding in the background of an otherwise peaceful scene.",Fear
franz-marc_sheaf-of-grain-1907,Post_Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/franz-marc/sheaf-of-grain-1907.jpg,Bright golds and yellows make the simplicity of the hay in a field glorious A stack of straw in a large open field It looks like a nice day in spring or summer with happy yellow colors,Contentment
joshua-reynolds_portrait-of-joseph-baretti,Rococo,amusement,5,0,0,https://uploads3.wikiart.org/images/joshua-reynolds/portrait-of-joseph-baretti.jpg,"Looks like a man who clearly needs glasses but refuses to get them is trying to read but refusing to admit he has a problem The picture depicts a man reading.  What makes it amusing is his very humanity vanity, in that he clearly needs glasses to help him read the small print, but is not wearing glasses. It would be great help if the servants could find his reading glasses.",Amusement
joan-snyder_symphony-1970,Abstract_Expressionism,excitement,5,3,0,https://uploads4.wikiart.org/images/joan-snyder/symphony-1970.jpg,"The orange and green colors dominate the painting and look like they are in the air. I like the modern/abstract look to thsi, as well as the bold colors.",Excitement
joan-mitchell_untitled-1987,Abstract_Expressionism,excitement,5,3,0,https://uploads6.wikiart.org/images/joan-mitchell/untitled-1987.jpg,"The bit on the left of this piece looks like an angry eye on a skull going after something through the shroud of colors. There are two panels even thought the yellow motions of paint connect them. The colors are bright, fast moving, and textured. Excitement and adventure await those that are brave enough to seek it out.  A new day.",Excitement
asgrimur-jonsson_mt-esja-seen-from-the-building-vinaminni-1910,Impressionism,contentment,5,2,0,https://uploads5.wikiart.org/images/asgrimur-jonsson/mt-esja-seen-from-the-building-vinaminni-1910.jpg,"Beautiful town with a the mountains in the background, makes me happy It looks like a nice little town along the river. The river sunset by a quiet town is serene. Everything in this picture is where it is supposed to be. The houses are straight and regular and the water is calm.",Contentment
jean-degottex_media-vii,Minimalism,sadness,5,7,1,https://uploads2.wikiart.org/images/jean-degottex/media-vii.jpg,"The image makes me feel terribly lonely since it is gray and very dreary looking. Another painting of the void the dark colors the nothingness The colors are drab, boring and look like tears falling. It's a black image and is like death.",Sadness
paul-cezanne_bather-1887,Post_Impressionism,amusement,5,0,0,https://uploads3.wikiart.org/images/paul-cezanne/bather-1887.jpg,"For some reason this man reminds me of a twelve year old boy who is trying on new underwear his mom got him. It is quite comical. this painting seems to capture a man in his natural state and moment, which is very human and relatable.",Amusement
theo-van-rysselberghe_mademoiselle-nele-van-de-velde-1903,Post_Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/theo-van-rysselberghe/mademoiselle-nele-van-de-velde-1903.jpg,the little girl with the short hair looks adorable in her dress The little girl has a hair ribbon clipped to her hair The girl seems to be relaxed but shy.,Contentment
amedeo-modigliani_viking-eggeling-1916,Expressionism,fear,6,6,1,https://uploads8.wikiart.org/images/amedeo-modigliani/viking-eggeling-1916.jpg,Looks like he is giving an evil glare I dont like his smile and his lack of eyes. Hidden eyes and a disturbing face. He resembles Dracula and looks scary,Fear
henri-edmond-cross_venice-palazzo-venier-dei-leoni,Pointillism,contentment,5,2,0,https://uploads2.wikiart.org/images/henri-edmond-cross/venice-palazzo-venier-dei-leoni.jpg,The colors are fun and make me feel happy The colors are fun and make me feel happy the reflections of light in the water the reflections of light in the water,Amusement
william-hogarth_the-importance-of-knowing-perspective-absurd-perspectives,Rococo,contentment,6,2,0,https://uploads7.wikiart.org/images/william-hogarth/the-importance-of-knowing-perspective-absurd-perspectives.jpg,"I appreciate how perfect this looks and the fact that it's in black and white. It's soothing, it makes me think of a child's story book. A nice drawing of a small and quaint town by the riverbank with a fishermen standing by. Much more to do in Salem than looking for witches to burn.",Contentment
antoine-pesne_luise-ulrike-von-preu-en,Rococo,contentment,5,2,0,https://uploads8.wikiart.org/images/antoine-pesne/luise-ulrike-von-preu-en.jpg,This woman looks like she is enjoying her picture drawn The woman looks happy even though she is dressed very formally.,Contentment
edouard-manet_woman-in-a-tub,Impressionism,awe,5,1,0,https://uploads7.wikiart.org/images/edouard-manet/woman-in-a-tub.jpg,Such a lovely view of a nuge that is done realistically with a genuine robust look to her body NOT SURE IF I WOULD HANG THIS PICTURE ANYWHERE IN MY HOME.  IS SHE TAKING A BATH IN A BASIN?,Disgust
sam-francis_untitled-sf72-1009-1972,Abstract_Expressionism,disgust,6,5,1,https://uploads5.wikiart.org/images/sam-francis/untitled-sf72-1009-1972.jpg,"The square border looks somewhat like a plate with blood smeared across it. I personally find very little beauty in this painting.  It appears that various colors of paint were just splattered on the canvas. the red and purple blotches at the center are somewhat revolting, like staring at a fetus",Disgust
pyotr-konchalovsky_san-maxim-palma-1908,Post_Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/pyotr-konchalovsky/san-maxim-palma-1908.jpg,The bright colors and garden scene make me so calm and happy to look at a man wearing a white hat tending to a fruit garden The trees an the colors are pretty contrasting the gardens. the flowers painted red is a very nice touch,Contentment
hiroshige_travellers-on-a-mountain-path-at-night,Ukiyo_e,sadness,6,7,1,https://uploads0.wikiart.org/images/hiroshige/travellers-on-a-mountain-path-at-night.jpg,"The men look like they are carrying very heavy things up the mountain, it must be exhausting. The subjects are all traveling away . They look like they are stealing away in the night.",Excitement
richard-gerstl_emile-gerstl-father-1907,Pointillism,sadness,5,7,1,https://uploads0.wikiart.org/images/richard-gerstl/emile-gerstl-father-1907.jpg,"It reminds me of an old man who could be dying. He doesn't look happy. I feel sad because he looks alone, he doesn't look happy and he is just sitting there with nobody around.",Sadness
martiros-saryan_at-the-well-1908,Expressionism,awe,5,1,0,https://uploads2.wikiart.org/images/martiros-saryan/at-the-well-1908.jpg,"I love the colors and the details on the animals.  Looks very primitive but beautiful. The bright blue, yellow, and orange are like a beautiful sunset. The quick brush strokes on this painting give me the impression that the sun is radiating to give the trees and animals life",Excitement
lucas-cranach-the-elder_venus-and-cupid-1525,Northern_Renaissance,amusement,6,0,0,https://uploads5.wikiart.org/images/lucas-cranach-the-elder/venus-and-cupid-1525.jpg,the little baby cupid looks like it is dancing on a sofa cushion The two nude figures are quite funny as they seem to admire themselves and each other in odd ways. the baby's posture seems absurdly unrealistic and funny,Amusement
edwin-henry-landseer_a-lake-scene-effect-of-a-storm,Romanticism,contentment,5,2,0,https://uploads3.wikiart.org/images/edwin-henry-landseer/a-lake-scene-effect-of-a-storm.jpg,"This artwork is quite serene even though a huge storm is coming over the horizon. The highlight on the beige colors perfectly illustrate the warmth of the sun from behind. The sun breaking through the clouds to shine on the foreground is quite contenting. This is a beautiful interplay of sunlight and clouds on a stark landscape, with a shady hillside opposite a sunny hillside.",Contentment
pierre-puvis-de-chavannes_sleeping,Symbolism,contentment,5,2,0,https://uploads4.wikiart.org/images/pierre-puvis-de-chavannes/sleeping.jpg,The clan seems at peace as they fall asleep as the moon ascends over the water. groups of people resting as the sun goes down A pastoral scene of a group of people sleeping in a field while a huge sun rises above the horizon of a distant lake.,Contentment
august-macke_street-with-church-in-kandern,Expressionism,excitement,5,3,0,https://uploads3.wikiart.org/images/august-macke/street-with-church-in-kandern.jpg,"This piece is very Impressionistic and the colors relay a feeling of awe and excitement. Even though  the painting is a little dark, the colors are still vibrant and cool.",Awe
henri-fantin-latour_self-portrait-1861,Realism,fear,6,6,1,https://uploads8.wikiart.org/images/henri-fantin-latour/self-portrait-1861.jpg,"Tbe dark colora of the work make the man look intimidating and scary Looks scary and like a slave master, looks like he's holding onto a whip.",Fear
alfred-sisley_street-in-veneux-1883,Impressionism,contentment,5,2,0,https://uploads5.wikiart.org/images/alfred-sisley/street-in-veneux-1883.jpg,I would call this place home- It's very calm and welcoming. It looks like a family going somewhere and bringing some goods. The quietness of the street and the neighbors gathered talking.  I also like the way the colors are used. Very peaceful village scene. The muted colors and country scene are relaxing.,Contentment
domingos-sequeira_o-milagre-de-ourique-1793,Romanticism,awe,6,1,0,https://uploads4.wikiart.org/images/domingos-sequeira/o-milagre-de-ourique-1793.jpg,"I like the depiction of Jesus in the sky, sets the stage for what the entire image is about. Christians spreading Christianity by force i assume. I like the depiction of Jesus in the sky, sets the stage for what the entire image is about. Christians spreading Christianity by force i assume. CAUTION: REPEAT IMAGE (The feeling reminds me of my time in the army, the need for good omens going into battle) I like the placement of the head Legionnaire and his orientation towards the sky. CAUTION: REPEAT IMAGE (The feeling reminds me of my time in the army, the need for good omens going into battle) I like the placement of the head Legionnaire and his orientation towards the sky. As a former soldier, I can relate to the legion and the desire for a good ""sign"" to take into battle. The perspective of the right-center subject and the glowing omen in the clouds. As a former soldier, I can relate to the legion and the desire for a good ""sign"" to take into battle. The perspective of the right-center subject and the glowing omen in the clouds.",Excitement
marc-chagall_pliushkin-treats-tchtchikov,Naive_Art_Primitivism,amusement,5,0,0,https://uploads1.wikiart.org/images/marc-chagall/pliushkin-treats-tchtchikov.jpg,The look on the gentleman's face is priceless. He appears to be up to no good. Even a dirty old man has a chance at seduction. The guy appears to be pouring shots which is a fun activity and he has a funny smile on his face. Looks like hes having a great time.,Amusement
