painting,predicted_emotion,similarity
agostino-carracci_venus-and-mars-1600,This artwork conveys a feeling of contentment.,0.30685609579086304
diego-velazquez_self-portrait-1,This artwork conveys a feeling of disgust.,0.27538901567459106
felicien-rops_tienne-soubre,This artwork conveys a feeling of disgust.,0.4544619619846344
koloman-moser_animal-motif-for-a-picture-book,This artwork conveys a feeling of contentment.,0.2990609109401703
martiros-saryan_woman-with-mask-s-i-dymshits-1913,This artwork conveys a feeling of contentment.,0.44397854804992676
max-pechstein_am-ufer-at-the-riverbank-1920,This artwork conveys a feeling of contentment.,0.21216021478176117
andy-warhol_mobil,This artwork conveys a feeling of amusement.,0.30264872312545776
joshua-reynolds_john-russel-4th-duke-of-bedford-1762,This artwork conveys a feeling of disgust.,0.5200631022453308
marc-chagall_peasant-with-a-clock-1968,This artwork conveys a feeling of amusement.,0.2210880070924759
allen-jones_chest-1968,This artwork conveys a feeling of amusement.,0.25366446375846863
felicien-rops_lady-with-puppet,This artwork conveys a feeling of contentment.,0.3632778227329254
camille-bombois_en-haut-de-la-colline,This artwork conveys a feeling of contentment.,0.5333729982376099
morris-louis_k-s-i-1959,This artwork conveys a feeling of awe.,0.18400733172893524
cornelis-de-vos_portrait-of-elisabeth-mertens-and-her-late-husband,This artwork conveys a feeling of disgust.,0.5977430939674377
hans-memling_portrait-of-jacques-of-savoy-1470,This artwork conveys a feeling of disgust.,0.500464916229248
john-duncan-fergusson_woman-in-hat-1950,This artwork conveys a feeling of contentment.,0.3314206600189209
paula-modersohn-becker_mother-and-child,This artwork conveys a feeling of disgust.,0.5986300110816956
john-russell_portrait-of-an-unknown-girl-in-a-white-dress-1800,This artwork conveys a feeling of contentment.,0.7974100112915039
akseli-gallen-kallela_study-1889,This artwork conveys a feeling of contentment.,0.2654709815979004
maurice-quentin-de-la-tour_self-portrait-with-the-bull-s-eye-1737,This artwork conveys a feeling of contentment.,0.5378260016441345
francois-boucher_the-toilet,This artwork conveys a feeling of contentment.,0.340774267911911
fernand-leger_two-women-two-sisters-1935,This artwork conveys a feeling of contentment.,0.2388363778591156
marc-chagall_god-sends-aaron-to-meet-moses-in-the-desert,This artwork conveys a feeling of sadness.,0.2588500380516052
hilma-af-klint_svanen-1914,This artwork conveys a feeling of awe.,0.1951379030942917
albrecht-durer_the-owl-in-fight-with-other-birds,This artwork conveys a feeling of anger.,0.2310260832309723
