painting,predicted_emotion,similarity
agostino-carracci_venus-and-mars-1600,This artwork conveys a feeling of anger.,0.12500017881393433
diego-velazquez_self-portrait-1,This artwork conveys a feeling of fear.,0.1652502566576004
felicien-rops_tienne-soubre,This artwork conveys a feeling of disgust.,0.1250002086162567
koloman-moser_animal-motif-for-a-picture-book,This artwork conveys a feeling of amusement.,0.2097611129283905
martiros-saryan_woman-with-mask-s-i-dymshits-1913,This artwork conveys a feeling of contentment.,0.23887713253498077
max-pechstein_am-ufer-at-the-riverbank-1920,This artwork conveys a feeling of excitement.,0.19004619121551514
andy-warhol_mobil,This artwork conveys a feeling of disgust.,0.18876351416110992
joshua-reynolds_john-russel-4th-duke-of-bedford-1762,This artwork conveys a feeling of disgust.,0.15505428612232208
marc-chagall_peasant-with-a-clock-1968,This artwork conveys a feeling of fear.,0.1826685518026352
allen-jones_chest-1968,This artwork conveys a feeling of disgust.,0.18184411525726318
felicien-rops_lady-with-puppet,This artwork conveys a feeling of contentment.,0.16926895081996918
camille-bombois_en-haut-de-la-colline,This artwork conveys a feeling of contentment.,0.5109156370162964
morris-louis_k-s-i-1959,This artwork conveys a feeling of fear.,0.14752566814422607
cornelis-de-vos_portrait-of-elisabeth-mertens-and-her-late-husband,This artwork conveys a feeling of contentment.,0.18428891897201538
hans-memling_portrait-of-jacques-of-savoy-1470,This artwork conveys a feeling of disgust.,0.18776588141918182
john-duncan-fergusson_woman-in-hat-1950,This artwork conveys a feeling of contentment.,0.3127858638763428
paula-modersohn-becker_mother-and-child,This artwork conveys a feeling of fear.,0.24767208099365234
john-russell_portrait-of-an-unknown-girl-in-a-white-dress-1800,This artwork conveys a feeling of sadness.,0.15738272666931152
akseli-gallen-kallela_study-1889,This artwork conveys a feeling of excitement.,0.15130318701267242
maurice-quentin-de-la-tour_self-portrait-with-the-bull-s-eye-1737,This artwork conveys a feeling of amusement.,0.17127323150634766
francois-boucher_the-toilet,This artwork conveys a feeling of sadness.,0.1687854379415512
fernand-leger_two-women-two-sisters-1935,This artwork conveys a feeling of amusement.,0.1741950809955597
marc-chagall_god-sends-aaron-to-meet-moses-in-the-desert,This artwork conveys a feeling of fear.,0.2055779993534088
hilma-af-klint_svanen-1914,This artwork conveys a feeling of fear.,0.17714977264404297
albrecht-durer_the-owl-in-fight-with-other-birds,This artwork conveys a feeling of anger.,0.12500005960464478
giovanni-domenico-tiepolo_minuet-1756,This artwork conveys a feeling of anger.,0.1250002384185791
hans-von-aachen_matthias-holy-roman-emperor-as-king-of-bohemia-1612,This artwork conveys a feeling of disgust.,0.19387724995613098
genevieve-asse_sans-titre-viii-1984,This artwork conveys a feeling of contentment.,0.21501493453979492
james-tissot_caricature-of-john-pender,This artwork conveys a feeling of disgust.,0.23980239033699036
georges-braque_guitar-program-statue-d-epouvante-1913,This artwork conveys a feeling of awe.,0.1737523227930069
rembrandt_self-portrait-in-a-fur-cap-bust-1630,This artwork conveys a feeling of contentment.,0.29678311944007874
maria-primachenko_black-monkey-1936,This artwork conveys a feeling of awe.,0.1513499617576599
dmitry-levitzky_portrait-of-e-i-molchanova-1776,This artwork conveys a feeling of awe.,0.20925132930278778
