painting,emotion,repetition
joseph-wright_landscape-with-figures-and-a-tilted-cart-matlock-hogh-tor-in-the-distance,awe,5
joseph-wright_landscape-with-figures-and-a-tilted-cart-matlock-hogh-tor-in-the-distance,excitement,5
joseph-wright_landscape-with-figures-and-a-tilted-cart-matlock-hogh-tor-in-the-distance,awe,5
joseph-wright_landscape-with-figures-and-a-tilted-cart-matlock-hogh-tor-in-the-distance,contentment,5
joseph-wright_landscape-with-figures-and-a-tilted-cart-matlock-hogh-tor-in-the-distance,awe,5
mary-cassatt_the-reader-1878,excitement,10
mary-cassatt_the-reader-1878,amusement,10
mary-cassatt_the-reader-1878,awe,10
mary-cassatt_the-reader-1878,contentment,10
mary-cassatt_the-reader-1878,contentment,10
mary-cassatt_the-reader-1878,contentment,10
mary-cassatt_the-reader-1878,awe,10
mary-cassatt_the-reader-1878,contentment,10
mary-cassatt_the-reader-1878,contentment,10
mary-cassatt_the-reader-1878,amusement,10
jean-francois-millet_death-and-the-woodcutter,fear,5
jean-francois-millet_death-and-the-woodcutter,sadness,5
jean-francois-millet_death-and-the-woodcutter,fear,5
jean-francois-millet_death-and-the-woodcutter,excitement,5
jean-francois-millet_death-and-the-woodcutter,fear,5
paolo-veronese_illusory-door-1561,contentment,6
paolo-veronese_illusory-door-1561,disgust,6
paolo-veronese_illusory-door-1561,amusement,6
paolo-veronese_illusory-door-1561,amusement,6
paolo-veronese_illusory-door-1561,awe,6
andrea-del-castagno_equestrian-monument-to-niccolo-da-tolentino-1456,awe,5
andrea-del-castagno_equestrian-monument-to-niccolo-da-tolentino-1456,awe,5
andrea-del-castagno_equestrian-monument-to-niccolo-da-tolentino-1456,awe,5
andrea-del-castagno_equestrian-monument-to-niccolo-da-tolentino-1456,awe,5
andrea-del-castagno_equestrian-monument-to-niccolo-da-tolentino-1456,awe,5
tivadar-kosztka-csontvary_shipwreck-1903,awe,10
tivadar-kosztka-csontvary_shipwreck-1903,awe,10
tivadar-kosztka-csontvary_shipwreck-1903,excitement,10
tivadar-kosztka-csontvary_shipwreck-1903,excitement,10
tivadar-kosztka-csontvary_shipwreck-1903,fear,10
tivadar-kosztka-csontvary_shipwreck-1903,fear,10
tivadar-kosztka-csontvary_shipwreck-1903,contentment,10
tivadar-kosztka-csontvary_shipwreck-1903,contentment,10
tivadar-kosztka-csontvary_shipwreck-1903,sadness,10
tivadar-kosztka-csontvary_shipwreck-1903,sadness,10
tivadar-kosztka-csontvary_shipwreck-1903,fear,10
tivadar-kosztka-csontvary_shipwreck-1903,fear,10
tivadar-kosztka-csontvary_shipwreck-1903,fear,10
tivadar-kosztka-csontvary_shipwreck-1903,fear,10
tivadar-kosztka-csontvary_shipwreck-1903,fear,10
tivadar-kosztka-csontvary_shipwreck-1903,fear,10
tivadar-kosztka-csontvary_shipwreck-1903,excitement,10
tivadar-kosztka-csontvary_shipwreck-1903,excitement,10
michelangelo_study-for-a-resurrection-of-christ-1533,fear,5
michelangelo_study-for-a-resurrection-of-christ-1533,fear,5
michelangelo_study-for-a-resurrection-of-christ-1533,fear,5
michelangelo_study-for-a-resurrection-of-christ-1533,fear,5
domingos-sequeira_the-worship-of-the-mages-1828,awe,5
domingos-sequeira_the-worship-of-the-mages-1828,awe,5
domingos-sequeira_the-worship-of-the-mages-1828,awe,5
domingos-sequeira_the-worship-of-the-mages-1828,awe,5
domingos-sequeira_the-worship-of-the-mages-1828,awe,5
domingos-sequeira_the-worship-of-the-mages-1828,awe,5
domingos-sequeira_the-worship-of-the-mages-1828,awe,5
domingos-sequeira_the-worship-of-the-mages-1828,awe,5
domingos-sequeira_the-worship-of-the-mages-1828,sadness,5
domingos-sequeira_the-worship-of-the-mages-1828,sadness,5
odilon-redon_a-strange-juggler-1885,fear,5
odilon-redon_a-strange-juggler-1885,disgust,5
odilon-redon_a-strange-juggler-1885,fear,5
odilon-redon_a-strange-juggler-1885,awe,5
odilon-redon_a-strange-juggler-1885,fear,5
