painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_anger_shot
andre-bauchant_unknown-title,Naive_Art_Primitivism,awe,5,1,0,https://uploads7.wikiart.org/images/andre-bauchant/unknown-title.jpg,"the brightness in the colors of the flowers The flowers in this pieces draw the eyes to the center and makes the viewer focus on the flowers, but then looking at the surrounding landscape and details gives an appreciation for how vast this painting is and the effort it took to paint it. amazing exaggerated details that are incredibly realistic.  Beautiful color and textures",Awe
gustave-courbet_frankfurt,Realism,contentment,5,2,0,https://uploads4.wikiart.org/images/gustave-courbet/frankfurt.jpg,There aren't many clouds in the sky. It is peaceful. The sunset shadowing the town and reflecting off of the lake makes for a beautiful view. The scene in a European city achieves serenity with calm water and a pleasant sky.,Contentment
katsushika-hokusai_inside-the-courtyard-of-the-toeizan-temple-at-ueno,Ukiyo_e,awe,5,1,0,https://uploads3.wikiart.org/images/katsushika-hokusai/inside-the-courtyard-of-the-toeizan-temple-at-ueno.jpg,"Scene depicting how well society was running and was organized at that time. This is an intricate system for a building. Very beautifully detailed. The attention to detail in even the smallest aspects of the picture is amazing The scenery, of the Japanese style buildings, looks majestic.",Awe
piero-dorazio_cercles-de-nuit-1992,Color_Field_Painting,contentment,5,2,0,https://uploads4.wikiart.org/images/piero-dorazio/cercles-de-nuit-1992.jpg,"Love the colors, the calm blue background, and bright swirls. No black to drag it down. Perfect. Love the colors, the calm blue background, and bright swirls. No black to drag it down. Perfect. looking at the bubbles forming and popping in my soda looking at the bubbles forming and popping in my soda The swirls and complimentary colors make it look like roses almost, which is cool. The swirls and complimentary colors make it look like roses almost, which is cool.",Amusement
henri-edmond-cross_the-cypresses-at-cagnes-1908,Pointillism,contentment,5,2,0,https://uploads8.wikiart.org/images/henri-edmond-cross/the-cypresses-at-cagnes-1908.jpg,The trees have a bright color scheme that makes me content. The trees have a bright color scheme that makes me content. I love the bright colors of the plants and the background looks to be a very successful city. I love the bright colors of the plants and the background looks to be a very successful city. They used primary colors to evoke calmness and it makes me feel peaceful They used primary colors to evoke calmness and it makes me feel peaceful,Contentment
hans-memling_the-donor-from-the-right-wing-of-the-diptych-of-maerten-van-nieuwenhove-1487,Northern_Renaissance,awe,5,1,0,https://uploads5.wikiart.org/images/hans-memling/the-donor-from-the-right-wing-of-the-diptych-of-maerten-van-nieuwenhove-1487.jpg,The man has his hands clasped in prayer and submission The man excitedly prays for help with his thoughts.,Awe
rogier-van-der-weyden_madonna-and-child-4,Northern_Renaissance,contentment,6,2,0,https://uploads2.wikiart.org/images/rogier-van-der-weyden/madonna-and-child-4.jpg,"a woman in a red gown holding her baby in her lap The mother's outfit is entirely red, symbolizing her love for her child This woman seems to be taking good care of her baby since she's holding it firmly in her lap Mary's look is serene as she looks down on the Christ child. I see a mother and her child having a bonding moment. Times like these are priceless.",Contentment
mary-cassatt_portrait-of-a-lady-of-seville-1873,Realism,contentment,5,2,0,https://uploads8.wikiart.org/images/mary-cassatt/portrait-of-a-lady-of-seville-1873.jpg,The woman has a smile on her face as if she is contented The woman is quite lovely and I find the red used in this scene as beautiful accents. THe portrait evokes a contented feeling with the subject seeming at ease in well painted and elegant fashion with bright red chair backing and flowers in her hair leaving a contented scene The bright red flower in the woman's hair matches the red velvet chair,Contentment
edvard-munch_self-portrait-in-hell-1903,Expressionism,fear,5,6,1,https://uploads0.wikiart.org/images/edvard-munch/self-portrait-in-hell-1903.jpg,"The orange background makes me think of fire and the black is like smoke as if the man is in a fire or in Hell The red and black in the photo make the man look evil. The man's fearful face, along with the orange and black color scheme, make me believe he's burning. That black shadowy shape behind the man could be a demon, or dark wings coming from behind him. The warm orange colors of the painting make one feel like he's in the underworld.",Fear
ivan-bilibin_illustration-for-the-poem-the-tale-of-the-golden-cockerel-by-alexander-pushkin-1910(1),Art_Nouveau_Modern,excitement,5,3,0,https://uploads6.wikiart.org/images/ivan-bilibin/illustration-for-the-poem-the-tale-of-the-golden-cockerel-by-alexander-pushkin-1910(1).jpg,This animal seems very powerful and even meaningful with how it is focused on which makes me feel powerful I find myself interested in foreign artwork and how aspects of different cultures might influence a style. This unusual cat makes me feel excited to know more.,Excitement
pablo-picasso_cock-and-knife-1947,Cubism,fear,5,6,1,https://uploads3.wikiart.org/images/pablo-picasso/cock-and-knife-1947.jpg,The chicken looks like it will be slaughtered shortly and I get a sense of pain and looming fear because of it The chicken looks like it will be slaughtered shortly and I get a sense of pain and looming fear because of it Looks like a scorpion is escaping from the persons body. Looks like a scorpion is escaping from the persons body. I feel fear as this animal is hacked to pieces I feel fear as this animal is hacked to pieces,Fear
giovanni-battista-tiepolo_rinaldo-and-armida-1753,Rococo,amusement,5,0,0,https://uploads1.wikiart.org/images/giovanni-battista-tiepolo/rinaldo-and-armida-1753.jpg,"I show my breast, you show your muscular thigh and why is he leaning on her? i am amused Cupid has clearly made the warrior love sick and given the semi-naked woman the advantage.",Amusement
konstantin-somov_promenade-after-rain-1,Symbolism,contentment,5,2,0,https://uploads0.wikiart.org/images/konstantin-somov/promenade-after-rain-1.jpg,"the brightness of the foreground and shadowing of the background with the rainbow looks cheerful this scene of peopple greeting one another is very pleasant, highlighted by the use of light, vibrant colors suhc as blue and green, and because of the rainbow in the back the scene seems really calm with people feeling ducks by a pond",Contentment
heorhiy-narbut_illustration-to-wooden-eagle-1909-1,Art_Nouveau_Modern,awe,5,1,0,https://uploads2.wikiart.org/images/heorhiy-narbut/illustration-to-wooden-eagle-1909-1.jpg,"The unknown language on the page combines with the decorations and drawings to give the impression of some ancient, majestic tome. The bright primary colors make the building look impressive. This scroll looks very important, with the castle in the background",Awe
gustave-moreau_orpheus-at-the-tomb-of-eurydice-1891,Symbolism,sadness,5,7,1,https://uploads3.wikiart.org/images/gustave-moreau/orpheus-at-the-tomb-of-eurydice-1891.jpg,"The colors of the trees and leaves are dark colors as if on fire or in morning, the central character of the painting looks as if they are reaching out for something. The man in the painting has a bowed head and a sad expression on his fce. I feel sadness because the man in the photo looks so sad and the sky is so gloomy.",Sadness
konstantin-somov_models-2,Symbolism,contentment,5,2,0,https://uploads4.wikiart.org/images/konstantin-somov/models-2.jpg,"the lines of the female form are fluid and not overly exaggerated the swift lines and soft lighting, as well as ease of the poses convey a sense of contentment",Contentment
